rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.24212,0.00910,0.23593,0
8192,8192,1.58372,0.37691,0.00358,0.37499,0
8192,16384,1.11099,0.30103,0.00559,0.30027,0
16384,8192,1.57701,0.37826,0.00202,0.37691,0
16384,16384,1.09025,0.23147,0.00726,0.22752,0
rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.23241,0.00840,0.22757,0
8192,8192,1.58338,0.37767,0.00338,0.37617,0
8192,16384,1.11135,0.18003,0.01125,0.17204,0
16384,8192,1.58167,0.37235,0.00557,0.36951,0
16384,16384,1.08990,0.24289,0.00383,0.24103,0
