rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,8.61088,0.10819,8.55804,0
8192,8192,262.69495,147.70245,0.39731,147.58998,0
8192,16384,185.31081,81.88965,0.36989,81.73124,0
8192,32768,163.22973,50.22131,0.21095,50.16385,0
8192,65536,115.04132,33.86466,0.19182,33.72377,0
8192,131072,83.14642,25.15106,0.11477,25.05024,0
8192,262144,65.91371,19.30748,0.05547,19.28220,0
16384,8192,274.74591,140.26518,0.77780,139.96533,0
16384,16384,189.63786,79.92259,1.17870,79.18386,0
16384,32768,139.18528,48.62589,0.23990,48.57209,0
16384,65536,103.08995,33.33948,0.25754,33.22192,0
16384,131072,76.47873,24.86006,0.16720,24.75077,0
16384,262144,59.83491,19.08688,0.17983,18.96730,0
32768,8192,255.11835,137.22815,2.69335,135.89995,0
32768,16384,186.84113,78.00122,1.20073,77.31166,0
32768,32768,129.92635,47.38102,0.22357,47.27184,0
32768,65536,100.08500,32.57077,0.14183,32.48281,0
32768,131072,80.44279,24.56271,0.05538,24.53386,0
32768,262144,53.93173,18.91876,0.07888,18.88069,0
65536,8192,290.25577,134.03120,1.18747,133.14895,0
65536,16384,207.26653,76.13823,0.94038,75.70366,0
65536,32768,132.59030,46.69806,0.19796,46.61561,0
65536,65536,96.54426,32.25050,0.16927,32.10449,0
65536,131072,76.25049,24.38410,0.03124,24.37572,0
65536,262144,50.62146,18.87829,0.06041,18.85089,0
131072,8192,337.56266,131.93690,0.36938,131.69790,0
131072,16384,223.83710,74.67509,0.63156,74.46043,0
131072,32768,138.50093,45.99107,0.16556,45.86964,0
131072,65536,93.51691,31.98731,0.43462,31.67379,0
131072,131072,72.64424,24.30787,0.18205,24.18227,0
131072,262144,47.57171,18.84862,0.13968,18.77121,0
262144,8192,357.33807,131.02789,0.35704,130.81548,0
262144,16384,239.32440,73.80758,0.16586,73.75958,0
262144,32768,151.20990,45.59842,0.20230,45.47675,0
262144,65536,93.92092,31.61143,0.09767,31.56958,0
262144,131072,69.01936,24.18600,0.16405,24.08910,0
262144,262144,44.40708,18.82375,0.07567,18.77727,0
rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,11.87630,0.10569,11.80304,0
8192,8192,458.82929,246.37340,0.04033,246.35919,0
8192,16384,320.99720,133.48282,0.03261,133.47450,0
8192,32768,243.40700,77.94902,0.02546,77.93900,0
8192,65536,176.84277,49.75645,0.02217,49.75386,0
8192,131072,131.44488,34.99825,0.08786,34.93191,0
8192,262144,104.15915,25.77609,0.05158,25.74789,0
16384,8192,506.13607,239.43470,0.05379,239.41292,0
16384,16384,289.07583,130.72704,0.01522,130.72079,0
16384,32768,209.41053,76.24944,0.01619,76.23998,0
16384,65536,167.54512,49.06558,0.14470,48.97869,0
16384,131072,133.22496,34.61647,0.05544,34.60020,0
16384,262144,90.58126,25.55634,0.04196,25.52983,0
32768,8192,423.72454,236.12067,0.26632,236.00113,0
32768,16384,317.08182,129.04600,0.02674,129.02956,0
32768,32768,191.99243,75.17557,0.02569,75.17685,0
32768,65536,147.11676,48.44749,0.04783,48.42134,0
32768,131072,117.99323,34.38455,0.02064,34.38151,0
32768,262144,82.01340,25.53441,0.03000,25.51800,0
65536,8192,449.91631,234.46855,0.04628,234.44683,0
65536,16384,311.29035,128.09932,0.20905,128.01004,0
65536,32768,187.60272,74.81217,0.04190,74.79662,0
65536,65536,143.05389,48.12470,0.03812,48.09424,0
65536,131072,115.84619,34.15128,0.06968,34.10353,0
65536,262144,74.52560,25.39270,0.03066,25.37480,0
131072,8192,485.99661,234.69852,0.29269,234.56713,0
131072,16384,310.24030,127.98111,0.05327,127.95862,0
131072,32768,194.69842,74.77085,0.03934,74.75088,0
131072,65536,137.41826,47.98692,0.02766,47.97079,0
131072,131072,105.86785,34.06244,0.01644,34.05526,0
131072,262144,67.82230,25.39135,0.02063,25.37999,0
262144,8192,491.57587,234.95232,0.27496,234.78797,0
262144,16384,310.41882,127.93458,0.21076,127.80891,0
262144,32768,193.11040,74.68131,0.08990,74.63557,0
262144,65536,133.12148,47.89153,0.03455,47.87551,0
262144,131072,101.03602,34.02808,0.04491,34.00182,0
262144,262144,61.44469,25.41210,0.02036,25.40270,0
