rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.39319,0.00320,0.39205,0
8192,8192,3.32549,1.26436,0.00961,1.26016,0
8192,16384,2.57473,0.89572,0.00172,0.89488,0
8192,32768,2.04923,0.62857,0.00275,0.62758,0
8192,65536,1.44439,0.43268,0.00341,0.43081,0
16384,8192,3.15712,1.24691,0.00251,1.24534,0
16384,16384,2.47390,0.88918,0.00162,0.88871,0
16384,32768,2.02010,0.62087,0.00191,0.62055,0
16384,65536,1.42919,0.42375,0.00381,0.42140,0
32768,8192,3.04593,1.23540,0.00196,1.23437,0
32768,16384,2.42866,0.87962,0.00181,0.87886,0
32768,32768,2.01817,0.62193,0.00234,0.62072,0
32768,65536,1.42186,0.42164,0.00425,0.41892,0
65536,8192,2.94946,1.23309,0.00165,1.23216,0
65536,16384,2.41080,0.87877,0.00152,0.87851,0
65536,32768,1.99447,0.61669,0.00251,0.61587,0
65536,65536,1.44143,0.42033,0.00369,0.41858,0
rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.58593,0.00747,0.58205,0
8192,8192,4.99370,1.87919,0.00831,1.87368,0
8192,16384,3.56095,1.28656,0.00557,1.28451,0
8192,32768,2.56297,0.90129,0.00588,0.89805,0
8192,65536,1.58738,0.61901,0.00333,0.61708,0
16384,8192,4.60190,1.86163,0.00385,1.85985,0
16384,16384,3.24909,1.28253,0.00470,1.27888,0
16384,32768,2.39674,0.89650,0.00187,0.89607,0
16384,65536,1.50343,0.61151,0.00387,0.60946,0
32768,8192,4.29366,1.84963,0.00378,1.84768,0
32768,16384,3.09788,1.27239,0.00447,1.26927,0
32768,32768,2.30981,0.89622,0.00282,0.89573,0
32768,65536,1.48411,0.61222,0.00267,0.61169,0
65536,8192,4.09661,1.83700,0.00358,1.83514,0
65536,16384,3.02812,1.26721,0.00687,1.26392,0
65536,32768,2.24245,0.88801,0.00138,0.88762,0
65536,65536,1.52865,0.61074,0.00317,0.60888,0
