rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.70268,0.00496,0.70085,0
8192,8192,5.18805,1.97229,0.00723,1.96829,0
8192,16384,3.74861,1.48986,0.00394,1.48833,0
8192,32768,2.58296,1.10328,0.00373,1.10175,0
8192,65536,1.40337,0.74960,0.00239,0.74930,0
16384,8192,4.75155,1.95943,0.00374,1.95727,0
16384,16384,3.41855,1.47546,0.00422,1.47356,0
16384,32768,2.38252,1.09866,0.00511,1.09616,0
16384,65536,1.27744,0.74605,0.00263,0.74469,0
32768,8192,4.43398,1.95316,0.00814,1.94834,0
32768,16384,3.19226,1.46673,0.00354,1.46575,0
32768,32768,2.26870,1.09487,0.00394,1.09272,0
32768,65536,1.26229,0.74836,0.00141,0.74813,0
65536,8192,4.24333,1.94203,0.00424,1.93988,0
65536,16384,3.12097,1.46317,0.00422,1.46187,0
65536,32768,2.23051,1.09468,0.00244,1.09365,0
65536,65536,1.24106,0.74257,0.00372,0.74096,0
rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.69929,0.00586,0.69590,0
8192,8192,5.18098,1.97020,0.01060,1.96492,0
8192,16384,3.71354,1.48820,0.00388,1.48545,0
8192,32768,2.59511,1.10203,0.00357,1.10067,0
8192,65536,1.39897,0.74083,0.00646,0.73802,0
16384,8192,4.76822,1.96127,0.00852,1.95463,0
16384,16384,3.41118,1.47391,0.00389,1.47181,0
16384,32768,2.38760,1.10023,0.00483,1.09704,0
16384,65536,1.27681,0.74679,0.00346,0.74494,0
32768,8192,4.49261,1.95477,0.00598,1.95251,0
32768,16384,3.21926,1.46910,0.00246,1.46836,0
32768,32768,2.28196,1.09595,0.00273,1.09413,0
32768,65536,1.26366,0.74256,0.00392,0.74104,0
65536,8192,4.22830,1.94528,0.00320,1.94366,0
65536,16384,3.13122,1.46340,0.00468,1.46149,0
65536,32768,2.25075,1.09500,0.00319,1.09374,0
65536,65536,1.24657,0.74125,0.00365,0.73947,0
