rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.05027,0.00954,0.04546,0
8192,8192,0.12923,0.05814,0.00580,0.05491,0
rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.05319,0.00711,0.04961,0
8192,8192,0.12844,0.05809,0.00627,0.05433,0
