rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,22.51585,0.52529,22.09394,0
8192,8192,907.11204,225.72666,0.18895,225.63092,1
8192,16384,716.89962,149.96865,0.37922,149.72305,0
8192,32768,587.63606,104.70061,0.15494,104.61241,0
8192,65536,491.32036,73.86167,0.11524,73.81971,0
8192,131072,413.89291,52.62082,0.16863,52.55680,1
8192,262144,351.07617,37.46669,0.19265,37.32459,1
16384,8192,891.12624,218.70709,0.32400,218.66099,1
16384,16384,649.37408,147.21391,0.28981,147.04101,0
16384,32768,535.62768,102.88336,0.14210,102.78307,0
16384,65536,438.40526,72.70630,0.09203,72.67647,0
16384,131072,391.09167,51.85771,0.10029,51.80903,1
16384,262144,329.65964,37.06612,0.18286,36.90124,1
32768,8192,847.99254,215.26251,0.49709,215.00466,1
32768,16384,636.96681,145.45780,0.50616,145.18096,1
32768,32768,513.46874,101.72360,0.06287,101.68894,0
32768,65536,430.22785,72.27558,0.13785,72.25337,0
32768,131072,367.00976,51.51698,0.18398,51.47536,1
32768,262144,301.98437,37.36259,0.22248,37.26873,1
65536,8192,836.25011,217.22244,0.58584,216.84337,1
65536,16384,658.65140,144.57999,0.58931,144.31268,1
65536,32768,492.94668,101.10288,0.05047,101.09061,0
65536,65536,406.46242,71.70987,0.18211,71.77345,0
65536,131072,333.90170,51.29813,0.11017,51.25142,0
65536,262144,276.62817,36.50708,0.15827,36.35946,1
131072,8192,865.30373,212.72232,0.37682,212.67254,1
131072,16384,644.42322,143.71642,0.26272,143.56344,1
131072,32768,495.31272,100.74755,0.04689,100.74253,0
131072,65536,388.21108,71.47247,0.13359,71.47344,0
131072,131072,315.43859,50.92279,0.16807,50.83888,0
131072,262144,266.57521,36.71487,0.18065,36.57029,1
262144,8192,861.34947,211.41944,0.33733,211.45706,1
262144,16384,653.24609,143.40838,0.60592,143.27004,1
262144,32768,479.13672,100.51281,0.06901,100.48973,0
262144,65536,379.52385,71.31150,0.17554,71.35769,0
262144,131072,312.33666,50.87113,0.20419,50.67667,0
262144,262144,263.83321,36.58043,0.20916,36.38775,1
rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,38.72361,0.10248,38.67497,0
8192,8192,1616.87643,350.86828,0.21604,350.72651,1
8192,16384,1217.81056,225.15747,0.22973,225.05275,0
8192,32768,941.01882,151.72883,0.15526,151.65039,0
8192,65536,754.23836,104.21445,0.04287,104.20249,0
8192,131072,605.55669,72.43340,0.09041,72.39725,0
8192,262144,496.94308,52.75148,0.04292,52.74594,0
16384,8192,1507.47591,345.13107,0.19437,345.12158,1
16384,16384,1124.75160,221.86823,0.13997,221.83624,0
16384,32768,849.71475,149.80940,0.15331,149.69950,0
16384,65536,671.91456,103.00536,0.12960,102.92205,0
16384,131072,584.66863,71.95203,0.02150,71.94360,0
16384,262144,471.26318,51.30324,0.07626,51.25384,0
32768,8192,1371.59458,341.84473,0.11510,341.76985,1
32768,16384,1040.50504,220.72853,0.09296,220.74392,0
32768,32768,799.85701,148.93524,0.05856,148.92325,0
32768,65536,664.67622,102.62968,0.09324,102.58029,0
32768,131072,554.71192,70.76331,0.10844,70.70653,0
32768,262144,428.24561,51.00684,0.03197,50.99866,0
65536,8192,1252.46003,340.51933,0.04188,340.50597,1
65536,16384,1008.11177,219.67419,0.11858,219.63849,0
65536,32768,746.97276,148.34986,0.15074,148.25298,0
65536,65536,626.72557,102.50415,0.10420,102.44673,0
65536,131072,500.27795,71.00661,0.10433,71.02525,0
65536,262144,387.65287,50.36799,0.10582,50.30569,0
131072,8192,1243.82481,341.35366,0.12531,341.30035,1
131072,16384,945.63870,219.46234,0.23026,219.33508,0
131072,32768,720.37510,148.64249,0.13368,148.66828,0
131072,65536,577.98112,102.32880,0.05938,102.32492,0
131072,131072,463.25292,70.50027,0.08541,70.47300,0
131072,262144,362.23161,51.06779,0.06019,51.03856,0
262144,8192,1224.00432,340.01959,0.12848,339.95150,1
262144,16384,925.81450,219.57154,0.19812,219.45374,0
262144,32768,666.06272,148.27203,0.15400,148.18140,0
262144,65536,552.74576,102.16089,0.08427,102.11837,0
262144,131072,446.71641,70.72840,0.05701,70.68242,1
262144,262144,346.76688,50.61913,0.05312,50.59899,0
