rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.20641,0.00475,0.20346,0
8192,8192,2.05329,0.32811,0.00580,0.32520,0
8192,16384,1.57113,0.21370,0.00597,0.21062,0
16384,8192,2.04469,0.33350,0.00394,0.33102,0
16384,16384,1.58393,0.21218,0.00594,0.20948,0
rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,0.16361,0.00436,0.16055,0
8192,8192,2.49793,0.44376,0.00408,0.44095,0
8192,16384,1.61989,0.20907,0.00532,0.20596,0
16384,8192,2.38845,0.44248,0.00377,0.44067,0
16384,16384,1.66372,0.17116,0.00230,0.16947,0
