filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.537_0.534_c862.mtx,83.3354,0.051081,3.14162,0.161235,3.04306
k16_0.899_0.537_0.537_0.535_c862.mtx,83.3704,0.052252,3.13684,0.17093,3.03135
k16_0.899_0.537_0.537_0.536_c862.mtx,83.2841,0.051761,3.17087,0.166204,3.04538
k16_0.899_0.537_0.537_0.537_c862.mtx,83.2363,0.050379,3.16537,0.180448,3.05372
k16_0.899_0.537_0.537_0.538_c862.mtx,83.9961,0.049658,3.18029,0.187962,3.0622
k16_0.899_0.537_0.537_0.539_c862.mtx,83.1201,0.050052,3.20646,0.206445,3.07665
k16_0.899_0.537_0.537_0.540_c862.mtx,83.3549,0.04961,3.22166,0.197059,3.09871
k16_0.899_0.537_0.537_0.541_c862.mtx,83.2077,0.05239,3.25748,0.175202,3.14839
k16_0.899_0.537_0.537_0.542_c862.mtx,85.2407,0.051314,3.3312,0.157952,3.23099
k16_0.899_0.537_0.537_0.543_c862.mtx,83.5729,0.049434,3.27419,0.189431,3.15439
k16_0.899_0.537_0.537_0.544_c862.mtx,82.9431,0.049749,3.34021,0.166647,3.23223
k16_0.899_0.537_0.537_0.545_c862.mtx,83.2077,0.047727,3.35821,0.207259,3.2312
k16_0.899_0.537_0.537_0.546_c862.mtx,83.4373,0.049668,3.33964,0.200802,3.21639
k16_0.899_0.537_0.537_0.547_c862.mtx,82.9691,0.051097,3.37785,0.193125,3.25595
k16_0.899_0.537_0.537_0.548_c862.mtx,83.0974,0.050069,3.3777,0.202875,3.25156
k16_0.899_0.537_0.537_0.549_c862.mtx,83.2387,0.050821,3.4175,0.1923,3.27323
k16_0.899_0.537_0.537_0.550_c862.mtx,83.035,0.048646,3.4225,0.202843,3.29424
k16_0.899_0.537_0.537_0.551_c862.mtx,83.2878,0.049568,3.44288,0.203428,3.31251
k16_0.899_0.537_0.537_0.552_c862.mtx,83.2043,0.050976,3.4743,0.186432,3.34121
k16_0.899_0.537_0.537_0.553_c862.mtx,83.253,0.055824,3.56739,0.275557,3.37662
k16_0.899_0.537_0.537_0.554_c862.mtx,83.1621,0.04961,3.56346,0.18545,3.44531
k16_0.899_0.537_0.537_0.555_c862.mtx,83.0641,0.052303,3.53812,0.200075,3.41359
k16_0.899_0.537_0.537_0.556_c862.mtx,83.2912,0.049845,3.5445,0.2011,3.41685
k16_0.899_0.537_0.537_0.557_c862.mtx,83.342,0.049199,3.57921,0.212724,3.44315
k16_0.899_0.537_0.537_0.558_c862.mtx,84.1725,0.050186,3.61251,0.214972,3.47604
k16_0.899_0.537_0.537_0.559_c862.mtx,83.2774,0.049551,3.61253,0.207431,3.48141
k16_0.899_0.537_0.537_0.560_c862.mtx,83.5613,0.050893,3.67991,0.212174,3.52599
k16_0.899_0.537_0.537_0.561_c862.mtx,83.2244,0.049572,3.68206,0.223223,3.5397
k16_0.899_0.537_0.537_0.562_c862.mtx,83.0979,0.054174,3.68773,0.215109,3.55589
k16_0.899_0.537_0.537_0.563_c862.mtx,83.3043,0.051371,3.73312,0.232571,3.58186
k16_0.899_0.537_0.537_0.564_c862.mtx,83.2458,0.050069,3.72997,0.216197,3.59042
k16_0.899_0.537_0.537_0.565_c862.mtx,83.3281,0.049733,3.75748,0.222373,3.6109
k16_0.899_0.537_0.537_0.566_c862.mtx,83.2241,0.050902,3.78228,0.212573,3.63998
k16_0.899_0.537_0.537_0.567_c862.mtx,83.39,0.050716,3.8234,0.224965,3.6777
k16_0.899_0.537_0.537_0.568_c862.mtx,83.2948,0.051157,3.83061,0.232955,3.67686
k16_0.899_0.537_0.537_0.569_c862.mtx,83.3167,0.050521,3.86063,0.2342,3.70648
k16_0.899_0.537_0.537_0.570_c862.mtx,83.3236,0.050542,3.91147,0.233204,3.72128
k16_0.899_0.537_0.537_0.571_c862.mtx,83.175,0.051147,3.90097,0.22916,3.75201
k16_0.899_0.537_0.537_0.572_c862.mtx,83.2708,0.049878,3.95495,0.233567,3.80168
k16_0.899_0.537_0.537_0.573_c862.mtx,83.2091,0.050112,3.95532,0.239351,3.80218
k16_0.899_0.537_0.537_0.574_c862.mtx,83.2637,0.049515,3.98922,0.24051,3.83503
k16_0.899_0.537_0.537_0.575_c862.mtx,83.351,0.049095,4.00551,0.243641,3.84799
k16_0.899_0.537_0.537_0.576_c862.mtx,83.327,0.053724,4.01819,0.249124,3.85605
k16_0.899_0.537_0.537_0.577_c862.mtx,83.3344,0.051404,4.05699,0.243438,3.89773
k16_0.899_0.537_0.537_0.578_c862.mtx,83.5641,0.049726,4.07453,0.241666,3.91639
k16_0.899_0.537_0.537_0.579_c862.mtx,83.3924,0.051975,4.09386,0.230918,3.94451
k16_0.899_0.537_0.537_0.580_c862.mtx,83.7543,0.053121,4.11863,0.240274,3.96317
k16_0.899_0.537_0.537_0.581_c862.mtx,84.3528,0.051541,4.1491,0.242883,3.98997
k16_0.899_0.537_0.537_0.582_c862.mtx,83.5979,0.050452,4.18002,0.253826,4.01133
k16_0.899_0.537_0.537_0.583_c862.mtx,83.7931,0.05074,4.21091,0.24533,4.04971
k16_0.899_0.537_0.537_0.584_c862.mtx,83.2207,0.050197,4.23054,0.249018,4.06704
k17_0.899_0.501_0.437_0.484_c862.mtx,82.5156,0.049097,2.99843,0.224335,2.86607
k17_0.899_0.502_0.437_0.484_c862.mtx,82.2837,0.056205,2.98755,0.193389,2.87238
k17_0.899_0.503_0.437_0.484_c862.mtx,82.5257,0.049269,3.00604,0.200094,2.89806
k17_0.899_0.504_0.437_0.484_c862.mtx,82.2773,0.048887,3.08255,0.177859,2.97399
k17_0.899_0.505_0.437_0.484_c862.mtx,83.0194,0.049994,3.03647,0.209634,2.91114
k17_0.899_0.506_0.437_0.484_c862.mtx,82.1182,0.048343,3.04382,0.169994,2.9361
k17_0.899_0.507_0.437_0.484_c862.mtx,82.24,0.048079,3.06353,0.190165,2.94958
k17_0.899_0.508_0.437_0.484_c862.mtx,83.0205,0.048403,3.11594,0.175579,2.99878
