filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k21_0.899_0.502_0.437_0.484_c862.mtx,109.491,0.067663,181.67,0.0821269,181.602
k21_0.899_0.503_0.437_0.484_c862.mtx,110.801,0.074398,181.054,0.0963359,180.999
k21_0.899_0.504_0.437_0.484_c862.mtx,110.074,0.064827,181.101,0.0957832,181.064
k21_0.899_0.505_0.437_0.484_c862.mtx,110.208,0.065694,187.396,0.0417002,187.379
k21_0.899_0.506_0.437_0.484_c862.mtx,110.116,0.064401,189.203,0.0365095,189.184
k21_0.899_0.507_0.437_0.484_c862.mtx,110.375,0.064128,191.431,0.0504909,191.405
k21_0.899_0.508_0.437_0.484_c862.mtx,112.263,0.080333,191.36,0.313804,191.23
k21_0.899_0.509_0.437_0.484_c862.mtx,111.119,0.067171,193.923,1.13579,193.876
k21_0.899_0.510_0.437_0.484_c862.mtx,112.31,0.076728,195.946,0.415683,195.758
k21_0.899_0.511_0.437_0.484_c862.mtx,111.55,0.067828,196.818,0.0724126,196.778
k21_0.899_0.512_0.437_0.484_c862.mtx,111.703,0.068677,200.14,0.0478007,200.1
k21_0.899_0.513_0.437_0.484_c862.mtx,111.832,0.067314,198.01,0.0895576,197.981
k21_0.899_0.514_0.437_0.484_c862.mtx,112.109,0.073667,204.376,0.0856445,204.318
k21_0.899_0.515_0.437_0.484_c862.mtx,113.565,0.075132,204.896,0.084568,204.868
k21_0.899_0.516_0.437_0.484_c862.mtx,113.55,0.075399,206.566,0.297149,206.42
k21_0.899_0.517_0.437_0.484_c862.mtx,114.012,0.076991,208.172,0.0694856,208.138
k21_0.899_0.518_0.437_0.484_c862.mtx,114.409,0.083028,208.415,0.0642906,208.4
k21_0.899_0.519_0.437_0.484_c862.mtx,113.127,0.068782,213.878,0.0807074,213.828
k21_0.899_0.520_0.437_0.484_c862.mtx,114.448,0.074986,215.37,0.792273,215.057
k21_0.899_0.521_0.437_0.484_c862.mtx,113.676,0.067468,216.741,1.1686,216.109
k21_0.899_0.522_0.437_0.484_c862.mtx,114.538,0.075067,219.934,0.388119,219.742
k21_0.899_0.523_0.437_0.484_c862.mtx,114.24,0.073745,222.59,0.131357,222.537
k21_0.899_0.524_0.437_0.484_c862.mtx,114.288,0.067757,223.282,0.794922,222.836
k21_0.899_0.525_0.437_0.484_c862.mtx,116.29,0.082434,223.481,0.0620828,223.456
k21_0.899_0.526_0.437_0.484_c862.mtx,117.559,0.079049,267.682,0.152342,267.592
k21_0.899_0.527_0.437_0.484_c862.mtx,116.264,0.080265,229.215,0.0305877,229.199
k21_0.899_0.528_0.437_0.484_c862.mtx,115.59,0.069508,232.375,0.0415383,232.364
k21_0.899_0.529_0.437_0.484_c862.mtx,116.428,0.079958,234.553,0.0752881,234.531
k21_0.899_0.530_0.437_0.484_c862.mtx,115.601,0.065908,231.792,0.0301556,231.771
k21_0.899_0.531_0.437_0.484_c862.mtx,117.593,0.085481,237.251,0.75143,236.949
k21_0.899_0.532_0.437_0.484_c862.mtx,116.321,0.075199,242.211,0.0858202,242.144
k21_0.899_0.533_0.437_0.484_c862.mtx,116.479,0.069196,244.11,0.107726,244.052
k21_0.899_0.534_0.437_0.484_c862.mtx,116.627,0.078541,245.421,0.0738171,245.379
k21_0.899_0.535_0.437_0.484_c862.mtx,118.454,0.077114,287.451,0.0510589,287.435
k21_0.899_0.536_0.437_0.484_c862.mtx,117.141,0.071131,254.417,0.0734826,254.363
