filename,rows_per_block,cols_per_block,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.530_0.484_c862.mtx,2,2,105.701,0.062301,23903.3,41.0659,23884.7
k16_0.899_0.537_0.530_0.484_c862.mtx,2,4,104.929,0.056029,12083.8,4.91999,12083
k16_0.899_0.537_0.530_0.484_c862.mtx,2,8,104.937,0.054266,6148.14,2.52733,6148.03
k16_0.899_0.537_0.530_0.484_c862.mtx,2,16,105.107,0.053737,3180.84,2.15886,3179.6
k16_0.899_0.537_0.530_0.484_c862.mtx,2,32,105.09,0.055857,1702.55,0.347398,1702.31
k16_0.899_0.537_0.530_0.484_c862.mtx,2,64,104.523,0.058745,944.877,0.330475,944.794
k16_0.899_0.537_0.530_0.484_c862.mtx,2,128,104.5,0.053745,558.689,0.111488,558.657
k16_0.899_0.537_0.530_0.484_c862.mtx,2,256,104.607,0.052437,351.38,0.0971007,351.337
k16_0.899_0.537_0.530_0.484_c862.mtx,2,512,104.646,0.054296,226.961,0.223523,226.885
k16_0.899_0.537_0.530_0.484_c862.mtx,2,1024,104.713,0.053832,145.381,0.196084,145.358
k16_0.899_0.537_0.530_0.484_c862.mtx,2,2048,104.611,0.053719,87.8933,0.126169,87.8581
k16_0.899_0.537_0.530_0.484_c862.mtx,2,4096,104.882,0.055053,49.4193,0.105834,49.3686
k16_0.899_0.537_0.530_0.484_c862.mtx,2,8192,104.176,0.053049,25.8938,0.083478,25.8471
k16_0.899_0.537_0.530_0.484_c862.mtx,2,16384,104.143,0.085012,12.8124,0.108183,12.7583
k16_0.899_0.537_0.530_0.484_c862.mtx,2,32768,104.179,0.054533,6.24125,0.0675649,6.21163
k16_0.899_0.537_0.530_0.484_c862.mtx,2,65536,104.41,0.052957,3.36971,0.0694754,3.31996
k16_0.899_0.537_0.530_0.484_c862.mtx,4,2,102.743,0.05318,24141.6,51.6373,24111.4
