filename,rows_per_block,cols_per_block,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.531_0.484_c862.mtx,2,2,104.652,0.052058,24001.5,8.11054,23998.5
k16_0.899_0.537_0.531_0.484_c862.mtx,2,4,104.016,0.054201,12101.1,5.36933,12097.9
k16_0.899_0.537_0.531_0.484_c862.mtx,2,8,104.603,0.05567,6159.73,2.0871,6159.01
k16_0.899_0.537_0.531_0.484_c862.mtx,2,16,104.378,0.056168,3185.77,0.818505,3185.32
k16_0.899_0.537_0.531_0.484_c862.mtx,2,32,104.244,0.056742,1699.02,1.22831,1698.48
k16_0.899_0.537_0.531_0.484_c862.mtx,2,64,103.885,0.053757,949.767,1.47214,949.23
k16_0.899_0.537_0.531_0.484_c862.mtx,2,128,104.055,0.052776,560.901,0.102144,560.873
k16_0.899_0.537_0.531_0.484_c862.mtx,2,256,103.949,0.054039,352.599,0.095387,352.543
k16_0.899_0.537_0.531_0.484_c862.mtx,2,512,104.43,0.059138,227.934,0.124208,227.873
k16_0.899_0.537_0.531_0.484_c862.mtx,2,1024,103.984,0.079908,146.197,0.235343,146.074
k16_0.899_0.537_0.531_0.484_c862.mtx,2,2048,103.97,0.055511,88.1998,0.135328,88.1118
k16_0.899_0.537_0.531_0.484_c862.mtx,2,4096,104.341,0.060787,49.5479,0.0421007,49.5282
k16_0.899_0.537_0.531_0.484_c862.mtx,2,8192,103.953,0.05323,26.0618,0.0536067,26.039
k16_0.899_0.537_0.531_0.484_c862.mtx,2,16384,104.185,0.053635,12.7972,0.0355722,12.7811
k16_0.899_0.537_0.531_0.484_c862.mtx,2,32768,103.737,0.05287,6.26791,0.0729923,6.22595
k16_0.899_0.537_0.531_0.484_c862.mtx,2,65536,104.157,0.054778,3.37536,0.0791758,3.3297
k16_0.899_0.537_0.531_0.484_c862.mtx,4,2,102.336,0.05487,24144.5,7.65734,24141.8
k16_0.899_0.537_0.531_0.484_c862.mtx,4,4,102.368,0.054445,12190.2,7.98428,12188.4
k16_0.899_0.537_0.531_0.484_c862.mtx,4,8,102.349,0.052618,6177.38,7.55598,6175.51
k16_0.899_0.537_0.531_0.484_c862.mtx,4,16,102.663,0.052251,3232.99,5.09128,3229.42
k16_0.899_0.537_0.531_0.484_c862.mtx,4,32,103.007,0.053982,1723.24,2.3662,1722.58
k16_0.899_0.537_0.531_0.484_c862.mtx,4,64,103.304,0.052504,965.216,1.81773,965.372
k16_0.899_0.537_0.531_0.484_c862.mtx,4,128,102.81,0.067012,571.793,2.59784,572.373
k16_0.899_0.537_0.531_0.484_c862.mtx,4,256,102.69,0.054575,367.104,0.129809,367.059
k16_0.899_0.537_0.531_0.484_c862.mtx,4,512,102.658,0.054454,236.978,0.0951501,236.917
k16_0.899_0.537_0.531_0.484_c862.mtx,4,1024,102.353,0.051613,150.28,0.0975335,150.221
k16_0.899_0.537_0.531_0.484_c862.mtx,4,2048,102.666,0.054788,89.4906,0.0920776,89.4353
k16_0.899_0.537_0.531_0.484_c862.mtx,4,4096,102.638,0.054359,49.5251,0.0746488,49.4935
k16_0.899_0.537_0.531_0.484_c862.mtx,4,8192,102.63,0.054936,25.8102,0.0842097,25.7407
k16_0.899_0.537_0.531_0.484_c862.mtx,4,16384,102.473,0.053704,12.7864,0.070985,12.7465
k16_0.899_0.537_0.531_0.484_c862.mtx,4,32768,102.621,0.055289,6.33578,0.0618876,6.30208
k16_0.899_0.537_0.531_0.484_c862.mtx,4,65536,102.59,0.053116,3.43454,0.0748956,3.39344
k16_0.899_0.537_0.531_0.484_c862.mtx,8,2,102.675,0.054262,25230.8,12.2818,25221.9
k16_0.899_0.537_0.531_0.484_c862.mtx,8,4,104.454,0.064432,12641.5,2.63348,12639.9
k16_0.899_0.537_0.531_0.484_c862.mtx,8,8,104.312,0.058716,6504.07,2.03587,6503.38
k16_0.899_0.537_0.531_0.484_c862.mtx,8,16,102.508,0.060798,3360.73,0.712502,3360.33
k16_0.899_0.537_0.531_0.484_c862.mtx,8,32,102.722,0.056067,1788.26,0.248711,1788.16
k16_0.899_0.537_0.531_0.484_c862.mtx,8,64,102.88,0.056327,1001.06,0.162089,1000.95
k16_0.899_0.537_0.531_0.484_c862.mtx,8,128,102.699,0.053257,589.218,0.105415,589.198
k16_0.899_0.537_0.531_0.484_c862.mtx,8,256,102.711,0.055754,358.808,0.155446,358.745
k16_0.899_0.537_0.531_0.484_c862.mtx,8,512,102.649,0.052183,233.012,0.103497,232.997
k16_0.899_0.537_0.531_0.484_c862.mtx,8,1024,106.571,0.057059,148.243,0.0813605,148.213
k16_0.899_0.537_0.531_0.484_c862.mtx,8,2048,102.684,0.055056,87.8348,0.0570538,87.787
k16_0.899_0.537_0.531_0.484_c862.mtx,8,4096,102.798,0.053217,48.1676,0.144577,48.0512
k16_0.899_0.537_0.531_0.484_c862.mtx,8,8192,102.778,0.056924,24.9524,0.102968,24.8854
k16_0.899_0.537_0.531_0.484_c862.mtx,8,16384,102.719,0.055245,12.4199,0.096438,12.348
k16_0.899_0.537_0.531_0.484_c862.mtx,8,32768,102.795,0.052429,6.17052,0.0978209,6.1187
k16_0.899_0.537_0.531_0.484_c862.mtx,8,65536,102.711,0.052561,3.42444,0.0688116,3.39201
k16_0.899_0.537_0.531_0.484_c862.mtx,16,2,103.078,0.054279,25011.3,5.55474,25007.6
k16_0.899_0.537_0.531_0.484_c862.mtx,16,4,102.914,0.052694,12596.3,1.58818,12595.7
k16_0.899_0.537_0.531_0.484_c862.mtx,16,8,102.886,0.053994,6466.37,4.70335,6464.13
k16_0.899_0.537_0.531_0.484_c862.mtx,16,16,103.285,0.055424,3340.56,1.88074,3339.88
k16_0.899_0.537_0.531_0.484_c862.mtx,16,32,102.99,0.052708,1794.88,0.453229,1794.9
k16_0.899_0.537_0.531_0.484_c862.mtx,16,64,103.131,0.052325,1002.42,0.266026,1002.23
k16_0.899_0.537_0.531_0.484_c862.mtx,16,128,102.933,0.055543,590.82,0.166505,590.721
k16_0.899_0.537_0.531_0.484_c862.mtx,16,256,102.579,0.053228,360.574,0.179984,360.488
k16_0.899_0.537_0.531_0.484_c862.mtx,16,512,102.895,0.053614,232.561,0.100984,232.528
k16_0.899_0.537_0.531_0.484_c862.mtx,16,1024,102.984,0.057118,145.392,0.0994949,145.332
k16_0.899_0.537_0.531_0.484_c862.mtx,16,2048,102.9,0.054328,85.1154,0.130248,85.0727
k16_0.899_0.537_0.531_0.484_c862.mtx,16,4096,102.642,0.054632,46.9195,0.123874,46.8489
k16_0.899_0.537_0.531_0.484_c862.mtx,16,8192,102.921,0.054725,24.4512,0.145535,24.3619
k16_0.899_0.537_0.531_0.484_c862.mtx,16,16384,103.074,0.059649,12.2059,0.123615,12.1302
k16_0.899_0.537_0.531_0.484_c862.mtx,16,32768,103.047,0.054423,6.07306,0.1016,6.01364
k16_0.899_0.537_0.531_0.484_c862.mtx,16,65536,103.065,0.052106,3.29907,0.088461,3.25262
k16_0.899_0.537_0.531_0.484_c862.mtx,32,2,102.637,0.055373,25062.6,33.654,25047
k16_0.899_0.537_0.531_0.484_c862.mtx,32,4,102.591,0.053796,12682.5,5.31295,12682.7
k16_0.899_0.537_0.531_0.484_c862.mtx,32,8,102.722,0.055558,6469.53,1.43749,6469.2
k16_0.899_0.537_0.531_0.484_c862.mtx,32,16,102.914,0.053328,3380.32,0.613297,3380.38
k16_0.899_0.537_0.531_0.484_c862.mtx,32,32,102.791,0.057373,1816.14,0.669982,1815.92
k16_0.899_0.537_0.531_0.484_c862.mtx,32,64,102.778,0.054309,1017.59,0.286011,1017.55
k16_0.899_0.537_0.531_0.484_c862.mtx,32,128,102.711,0.053652,599.766,0.215152,599.641
k16_0.899_0.537_0.531_0.484_c862.mtx,32,256,102.537,0.052783,366.761,0.173427,366.693
k16_0.899_0.537_0.531_0.484_c862.mtx,32,512,102.59,0.055269,233.674,0.128228,233.576
k16_0.899_0.537_0.531_0.484_c862.mtx,32,1024,102.586,0.053616,143.833,0.188249,143.764
k16_0.899_0.537_0.531_0.484_c862.mtx,32,2048,103.65,0.054951,83.0026,0.191585,82.9042
k16_0.899_0.537_0.531_0.484_c862.mtx,32,4096,102.712,0.054771,45.773,0.137615,45.6837
k16_0.899_0.537_0.531_0.484_c862.mtx,32,8192,104.77,0.054914,24.0117,0.148502,23.9327
k16_0.899_0.537_0.531_0.484_c862.mtx,32,16384,102.528,0.05338,12.1062,0.141612,12.0361
k16_0.899_0.537_0.531_0.484_c862.mtx,32,32768,102.699,0.055419,6.02682,0.108156,5.96816
k16_0.899_0.537_0.531_0.484_c862.mtx,32,65536,102.573,0.053779,3.28706,0.0892687,3.23644
k16_0.899_0.537_0.531_0.484_c862.mtx,64,2,102.771,0.055904,25104.1,6.02995,25103.4
k16_0.899_0.537_0.531_0.484_c862.mtx,64,4,102.566,0.053526,12696,46.6526,12685.2
k16_0.899_0.537_0.531_0.484_c862.mtx,64,8,102.491,0.057365,6516.04,10.0037,6507.48
k16_0.899_0.537_0.531_0.484_c862.mtx,64,16,102.854,0.054401,3416.4,0.685007,3416.2
k16_0.899_0.537_0.531_0.484_c862.mtx,64,32,102.505,0.053804,1835.32,0.522633,1835.07
k16_0.899_0.537_0.531_0.484_c862.mtx,64,64,102.57,0.054372,1043.33,0.786103,1043.26
k16_0.899_0.537_0.531_0.484_c862.mtx,64,128,103.407,0.052884,619.282,0.101292,619.279
k16_0.899_0.537_0.531_0.484_c862.mtx,64,256,102.683,0.054644,382.071,0.173959,382.045
k16_0.899_0.537_0.531_0.484_c862.mtx,64,512,102.651,0.054469,238.904,0.293208,238.778
k16_0.899_0.537_0.531_0.484_c862.mtx,64,1024,102.67,0.052815,143.462,0.138787,143.389
k16_0.899_0.537_0.531_0.484_c862.mtx,64,2048,102.438,0.057989,81.3979,0.124222,81.3222
k16_0.899_0.537_0.531_0.484_c862.mtx,64,4096,102.637,0.055987,44.5051,0.139536,44.4148
k16_0.899_0.537_0.531_0.484_c862.mtx,64,8192,102.777,0.055759,23.4282,0.142715,23.3481
k16_0.899_0.537_0.531_0.484_c862.mtx,64,16384,102.721,0.057004,11.8422,0.134893,11.7698
k16_0.899_0.537_0.531_0.484_c862.mtx,64,32768,102.735,0.061569,5.97575,0.125948,5.90131
k16_0.899_0.537_0.531_0.484_c862.mtx,64,65536,102.577,0.054538,3.26053,0.0860424,3.21479
k16_0.899_0.537_0.531_0.484_c862.mtx,128,2,102.526,0.054797,23424.1,17.6805,23415.7
