filename,rows_per_block,cols_per_block,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.527_0.484_c862.mtx,2,2,105.664,0.060776,23730.7,26.7523,23730.4
k16_0.899_0.537_0.527_0.484_c862.mtx,2,4,105.66,0.055747,12002.5,13.8163,12006.7
k16_0.899_0.537_0.527_0.484_c862.mtx,2,8,104.749,0.053986,6112.24,3.95856,6109.93
k16_0.899_0.537_0.527_0.484_c862.mtx,2,16,105.278,0.058478,3161.02,4.34685,3158.59
k16_0.899_0.537_0.527_0.484_c862.mtx,2,32,105.08,0.058532,1680.5,0.327616,1680.31
k16_0.899_0.537_0.527_0.484_c862.mtx,2,64,105.241,0.05836,934.712,0.479485,934.75
k16_0.899_0.537_0.527_0.484_c862.mtx,2,128,104.954,0.055132,552.129,0.163408,552.117
k16_0.899_0.537_0.527_0.484_c862.mtx,2,256,105.236,0.056827,348.282,0.0934059,348.213
k16_0.899_0.537_0.527_0.484_c862.mtx,2,512,105.311,0.055926,224.032,0.0812677,224
k16_0.899_0.537_0.527_0.484_c862.mtx,2,1024,105.148,0.061071,143.673,0.0852867,143.649
k16_0.899_0.537_0.527_0.484_c862.mtx,2,2048,104.913,0.058648,87.0041,0.12717,86.9675
k16_0.899_0.537_0.527_0.484_c862.mtx,2,4096,105.098,0.056784,48.9676,0.1391,48.9113
k16_0.899_0.537_0.527_0.484_c862.mtx,2,8192,104.98,0.057866,25.7526,0.0718816,25.7509
k16_0.899_0.537_0.527_0.484_c862.mtx,2,16384,105.086,0.057984,12.7104,0.0592063,12.6782
k16_0.899_0.537_0.527_0.484_c862.mtx,2,32768,105.03,0.058351,6.23131,0.0591658,6.19143
k16_0.899_0.537_0.527_0.484_c862.mtx,2,65536,104.768,0.05431,3.34557,0.0760118,3.30187
k16_0.899_0.537_0.527_0.484_c862.mtx,4,2,103.62,0.055467,24113.1,7.97664,24110.2
k16_0.899_0.537_0.527_0.484_c862.mtx,4,4,103.323,0.05388,12123.7,42.9535,12091.8
k16_0.899_0.537_0.527_0.484_c862.mtx,4,8,105.565,0.054014,6172.66,3.41099,6172.34
k16_0.899_0.537_0.527_0.484_c862.mtx,4,16,103.576,0.056857,3194.9,7.0744,3190.28
k16_0.899_0.537_0.527_0.484_c862.mtx,4,32,103.58,0.055717,1708.46,1.22433,1707.83
k16_0.899_0.537_0.527_0.484_c862.mtx,4,64,103.301,0.055829,954.752,0.453587,954.529
k16_0.899_0.537_0.527_0.484_c862.mtx,4,128,103.906,0.054875,564.65,0.361895,564.524
k16_0.899_0.537_0.527_0.484_c862.mtx,4,256,103.521,0.056698,361.946,0.113627,361.927
