filename,rows_per_block,cols_per_block,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.526_0.484_c862.mtx,16,8,105.106,0.056483,6408.91,2.47429,6407.02
k16_0.899_0.537_0.526_0.484_c862.mtx,16,16,106.185,0.072878,3329.62,1.15816,3328.92
k16_0.899_0.537_0.526_0.484_c862.mtx,16,32,105.241,0.058451,1770.99,0.557985,1770.64
k16_0.899_0.537_0.526_0.484_c862.mtx,16,64,106.171,0.065187,990.475,0.397901,990.241
k16_0.899_0.537_0.526_0.484_c862.mtx,16,128,106.732,0.068809,583.961,0.260055,583.853
k16_0.899_0.537_0.526_0.484_c862.mtx,16,256,105.174,0.056888,352.876,0.200244,352.785
k16_0.899_0.537_0.526_0.484_c862.mtx,16,512,106.272,0.063989,228.51,0.129787,228.418
k16_0.899_0.537_0.526_0.484_c862.mtx,16,1024,106.219,0.065006,142.932,0.163022,142.827
k16_0.899_0.537_0.526_0.484_c862.mtx,16,2048,105.28,0.05934,84.0472,0.136134,83.9847
k16_0.899_0.537_0.526_0.484_c862.mtx,16,4096,106.024,0.061683,46.3811,0.153573,46.3248
k16_0.899_0.537_0.526_0.484_c862.mtx,16,8192,106.134,0.065686,24.1674,0.143414,24.0877
k16_0.899_0.537_0.526_0.484_c862.mtx,16,16384,106.111,0.064662,12.0708,0.113274,12.0083
k16_0.899_0.537_0.526_0.484_c862.mtx,16,32768,106.188,0.066011,5.97091,0.0976679,5.91292
k16_0.899_0.537_0.526_0.484_c862.mtx,16,65536,106.101,0.064799,3.23433,0.0839445,3.19068
k16_0.899_0.537_0.526_0.484_c862.mtx,32,2,104.69,0.058758,24852.5,9.02058,24850
k16_0.899_0.537_0.526_0.484_c862.mtx,32,4,105.968,0.063409,12601,4.43473,12599
k16_0.899_0.537_0.526_0.484_c862.mtx,32,8,106.591,0.070799,6425.12,1.38278,6424.57
k16_0.899_0.537_0.526_0.484_c862.mtx,32,16,104.179,0.062098,3343.74,0.944425,3343.36
k16_0.899_0.537_0.526_0.484_c862.mtx,32,32,105.956,0.063034,1795.02,0.471291,1794.86
k16_0.899_0.537_0.526_0.484_c862.mtx,32,64,105.959,0.090758,1005.85,0.786924,1005.51
k16_0.899_0.537_0.526_0.484_c862.mtx,32,128,106.125,0.062453,592.751,0.182877,592.714
k16_0.899_0.537_0.526_0.484_c862.mtx,32,256,106.048,0.066991,358.819,0.257557,358.669
k16_0.899_0.537_0.526_0.484_c862.mtx,32,512,105.932,0.065349,229.398,0.11228,229.338
k16_0.899_0.537_0.526_0.484_c862.mtx,32,1024,104.661,0.055001,141.321,0.110094,141.276
k16_0.899_0.537_0.526_0.484_c862.mtx,32,2048,105.978,0.065081,81.8095,0.163128,81.7437
k16_0.899_0.537_0.526_0.484_c862.mtx,32,4096,105.538,0.062667,45.2393,0.0985072,45.2008
k16_0.899_0.537_0.526_0.484_c862.mtx,32,8192,107.887,0.067456,23.7329,0.155372,23.6605
k16_0.899_0.537_0.526_0.484_c862.mtx,32,16384,105.862,0.067096,11.9777,0.13531,11.9041
k16_0.899_0.537_0.526_0.484_c862.mtx,32,32768,104.406,0.058917,5.92139,0.1179,5.85815
k16_0.899_0.537_0.526_0.484_c862.mtx,32,65536,105.767,0.060125,3.20475,0.0848855,3.15842
k16_0.899_0.537_0.526_0.484_c862.mtx,64,2,104.56,0.058103,24861.6,11.1451,24860.8
k16_0.899_0.537_0.526_0.484_c862.mtx,64,4,103.981,0.057195,12584.2,14.5986,12577.9
k16_0.899_0.537_0.526_0.484_c862.mtx,64,8,105.851,0.065012,6461.19,2.89117,6461.24
k16_0.899_0.537_0.526_0.484_c862.mtx,64,16,103.468,0.053652,3369.17,0.755917,3369.06
k16_0.899_0.537_0.526_0.484_c862.mtx,64,32,105.85,0.069765,1823.01,0.385916,1822.92
k16_0.899_0.537_0.526_0.484_c862.mtx,64,64,106.669,0.060206,1026.86,0.53283,1026.58
k16_0.899_0.537_0.526_0.484_c862.mtx,64,128,105.85,0.063159,608.706,0.228349,608.589
k16_0.899_0.537_0.526_0.484_c862.mtx,64,256,103.881,0.056018,375.04,0.167297,374.981
k16_0.899_0.537_0.526_0.484_c862.mtx,64,512,105.985,0.062725,234.318,0.135025,234.269
k16_0.899_0.537_0.526_0.484_c862.mtx,64,1024,106.086,0.064923,141.462,0.135777,141.382
k16_0.899_0.537_0.526_0.484_c862.mtx,64,2048,105.934,0.062971,80.3934,0.106379,80.3381
k16_0.899_0.537_0.526_0.484_c862.mtx,64,4096,105.652,0.067005,44.0408,0.0968495,43.9705
k16_0.899_0.537_0.526_0.484_c862.mtx,64,8192,105.823,0.067562,23.231,0.131538,23.1652
k16_0.899_0.537_0.526_0.484_c862.mtx,64,16384,105.9,0.06636,11.7079,0.141208,11.6339
k16_0.899_0.537_0.526_0.484_c862.mtx,64,32768,105.942,0.065968,5.87951,0.105827,5.82623
k16_0.899_0.537_0.526_0.484_c862.mtx,64,65536,103.687,0.056247,3.18819,0.0813776,3.14346
k16_0.899_0.537_0.526_0.484_c862.mtx,128,2,105.736,0.062465,23204.2,6.35935,23201.2
k16_0.899_0.537_0.526_0.484_c862.mtx,128,4,103.772,0.055518,11810.3,14.023,11801.4
k16_0.899_0.537_0.526_0.484_c862.mtx,128,8,107.511,0.059369,6100.72,6.81202,6099.81
k16_0.899_0.537_0.526_0.484_c862.mtx,128,16,106.03,0.064365,3224.95,0.969196,3224.58
k16_0.899_0.537_0.526_0.484_c862.mtx,128,32,105.934,0.06829,1768.64,0.904482,1768.15
k16_0.899_0.537_0.526_0.484_c862.mtx,128,64,105.815,0.064996,1017.31,0.500958,1017.28
k16_0.899_0.537_0.526_0.484_c862.mtx,128,128,103.821,0.055959,613.805,0.282281,613.603
k16_0.899_0.537_0.526_0.484_c862.mtx,128,256,105.748,0.064049,380.363,0.284553,380.178
k16_0.899_0.537_0.526_0.484_c862.mtx,128,512,106.124,0.064441,238.126,0.250877,238.04
k16_0.899_0.537_0.526_0.484_c862.mtx,128,1024,103.793,0.060934,141.779,0.186929,141.694
k16_0.899_0.537_0.526_0.484_c862.mtx,128,2048,106.501,0.064735,80.0697,0.0848941,80.0162
k16_0.899_0.537_0.526_0.484_c862.mtx,128,4096,105.865,0.06509,43.8766,0.11563,43.8196
k16_0.899_0.537_0.526_0.484_c862.mtx,128,8192,103.813,0.054262,23.2336,0.123554,23.1893
k16_0.899_0.537_0.526_0.484_c862.mtx,128,16384,106.045,0.054465,11.9004,0.126966,11.8347
k16_0.899_0.537_0.526_0.484_c862.mtx,128,32768,103.775,0.060723,5.98005,0.104171,5.92231
k16_0.899_0.537_0.526_0.484_c862.mtx,128,65536,106.017,0.065203,3.24159,0.0807774,3.19948
k16_0.899_0.537_0.526_0.484_c862.mtx,256,2,103.744,0.054296,23281.7,6.80485,23280.2
k16_0.899_0.537_0.526_0.484_c862.mtx,256,4,103.68,0.05507,11861.8,15.6086,11857.2
k16_0.899_0.537_0.526_0.484_c862.mtx,256,8,103.754,0.05451,6154.53,7.55593,6149.15
k16_0.899_0.537_0.526_0.484_c862.mtx,256,16,105.959,0.063736,3287.71,3.49392,3285.86
k16_0.899_0.537_0.526_0.484_c862.mtx,256,32,106.024,0.067577,1826.14,0.738114,1825.93
k16_0.899_0.537_0.526_0.484_c862.mtx,256,64,105.918,0.071184,1064.61,0.27062,1064.59
k16_0.899_0.537_0.526_0.484_c862.mtx,256,128,103.759,0.05979,645.521,0.500327,645.278
k16_0.899_0.537_0.526_0.484_c862.mtx,256,256,105.918,0.07372,398.133,0.25365,397.966
k16_0.899_0.537_0.526_0.484_c862.mtx,256,512,103.661,0.055235,243.606,0.161157,243.529
k16_0.899_0.537_0.526_0.484_c862.mtx,256,1024,105.645,0.063448,143.111,0.184274,142.99
k16_0.899_0.537_0.526_0.484_c862.mtx,256,2048,103.86,0.060562,80.107,0.115315,80.0383
k16_0.899_0.537_0.526_0.484_c862.mtx,256,4096,103.717,0.054759,43.4388,0.12274,43.3582
k16_0.899_0.537_0.526_0.484_c862.mtx,256,8192,105.919,0.062609,22.9057,0.140924,22.8522
k16_0.899_0.537_0.526_0.484_c862.mtx,256,16384,103.649,0.054948,11.7868,0.13902,11.7058
k16_0.899_0.537_0.526_0.484_c862.mtx,256,32768,105.907,0.069594,5.966,0.0985948,5.90587
k16_0.899_0.537_0.526_0.484_c862.mtx,256,65536,106.599,0.061762,3.22494,0.0765322,3.18639
k16_0.899_0.537_0.526_0.484_c862.mtx,512,2,105.724,0.062714,23560,10.7461,23552.8
k16_0.899_0.537_0.526_0.484_c862.mtx,512,4,103.691,0.054688,12126,10.4246,12121.1
k16_0.899_0.537_0.526_0.484_c862.mtx,512,8,103.887,0.055439,6381.33,4.65879,6378.11
k16_0.899_0.537_0.526_0.484_c862.mtx,512,16,103.771,0.053618,3476.84,1.09697,3476.49
k16_0.899_0.537_0.526_0.484_c862.mtx,512,32,103.613,0.054014,1976.76,1.11639,1976.31
k16_0.899_0.537_0.526_0.484_c862.mtx,512,64,103.785,0.054057,1173.65,0.28761,1173.59
k16_0.899_0.537_0.526_0.484_c862.mtx,512,128,105.835,0.062413,709.231,0.505739,708.979
