filename,rows_per_block,cols_per_block,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.528_0.484_c862.mtx,2,2,107.866,0.060305,23822.4,16.7389,23816.3
k16_0.899_0.537_0.528_0.484_c862.mtx,2,4,106.119,0.063393,12038.2,4.74315,12035.7
k16_0.899_0.537_0.528_0.484_c862.mtx,2,8,106.804,0.063441,6132.99,1.63109,6132.53
k16_0.899_0.537_0.528_0.484_c862.mtx,2,16,104.637,0.05969,3164,0.869933,3163.39
k16_0.899_0.537_0.528_0.484_c862.mtx,2,32,106.467,0.062068,1683.71,0.491148,1683.48
k16_0.899_0.537_0.528_0.484_c862.mtx,2,64,104.672,0.054859,938.226,0.111025,938.17
k16_0.899_0.537_0.528_0.484_c862.mtx,2,128,106.302,0.06069,554.635,0.225397,554.568
k16_0.899_0.537_0.528_0.484_c862.mtx,2,256,104.446,0.054463,348.511,0.176168,348.408
k16_0.899_0.537_0.528_0.484_c862.mtx,2,512,104.452,0.055228,224.925,0.124369,224.887
k16_0.899_0.537_0.528_0.484_c862.mtx,2,1024,106.46,0.060641,144.16,0.159868,144.093
k16_0.899_0.537_0.528_0.484_c862.mtx,2,2048,104.593,0.055279,87.2004,0.184126,87.1783
k16_0.899_0.537_0.528_0.484_c862.mtx,2,4096,104.475,0.053573,49.1469,0.102099,49.1397
k16_0.899_0.537_0.528_0.484_c862.mtx,2,8192,106.24,0.061322,25.7997,0.0686472,25.7598
k16_0.899_0.537_0.528_0.484_c862.mtx,2,16384,104.35,0.053468,12.7179,0.0605636,12.6896
k16_0.899_0.537_0.528_0.484_c862.mtx,2,32768,104.269,0.054552,6.22418,0.0746421,6.1871
k16_0.899_0.537_0.528_0.484_c862.mtx,2,65536,106.419,0.064042,3.35269,0.0863065,3.30471
k16_0.899_0.537_0.528_0.484_c862.mtx,4,2,102.873,0.054394,24038.3,93.0837,23965.2
k16_0.899_0.537_0.528_0.484_c862.mtx,4,4,104.566,0.059877,12084,10.4267,12077.9
k16_0.899_0.537_0.528_0.484_c862.mtx,4,8,102.888,0.059957,6130.02,7.58777,6127.41
k16_0.899_0.537_0.528_0.484_c862.mtx,4,16,104.999,0.062997,3205.73,2.32993,3205.14
k16_0.899_0.537_0.528_0.484_c862.mtx,4,32,102.959,0.054952,1712.81,3.44387,1710.3
k16_0.899_0.537_0.528_0.484_c862.mtx,4,64,104.908,0.058747,957.566,0.545166,957.428
k16_0.899_0.537_0.528_0.484_c862.mtx,4,128,102.938,0.053546,567.353,0.482076,567.199
k16_0.899_0.537_0.528_0.484_c862.mtx,4,256,102.931,0.055164,363.238,0.177509,363.107
