filename,rows_per_block,cols_per_block,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.537_0.486_c862.mtx,2,2,105.17,0.054629,24318.9,33.1471,24321.1
k16_0.899_0.537_0.537_0.486_c862.mtx,2,4,105.373,0.055497,12296.9,12.0268,12292.1
k16_0.899_0.537_0.537_0.486_c862.mtx,2,8,104.719,0.054049,6256.44,5.32077,6252.42
k16_0.899_0.537_0.537_0.486_c862.mtx,2,16,104.492,0.053627,3239.35,2.03753,3238.4
k16_0.899_0.537_0.537_0.486_c862.mtx,2,32,104.771,0.054362,1733.37,0.305612,1733.12
k16_0.899_0.537_0.537_0.486_c862.mtx,2,64,104.688,0.054085,974.996,0.242248,974.942
k16_0.899_0.537_0.537_0.486_c862.mtx,2,128,107.223,0.071574,576.706,0.258787,576.6
k16_0.899_0.537_0.537_0.486_c862.mtx,2,256,104.485,0.055618,363.991,0.133415,363.966
k16_0.899_0.537_0.537_0.486_c862.mtx,2,512,104.645,0.055057,235.583,0.122717,235.589
k16_0.899_0.537_0.537_0.486_c862.mtx,2,1024,104.671,0.053466,150.739,0.179374,150.691
k16_0.899_0.537_0.537_0.486_c862.mtx,2,2048,104.314,0.051741,90.5424,0.159034,90.4679
k16_0.899_0.537_0.537_0.486_c862.mtx,2,4096,104.513,0.053853,50.6747,0.164898,50.5867
k16_0.899_0.537_0.537_0.486_c862.mtx,2,8192,104.246,0.052584,26.4777,0.0830336,26.4353
k16_0.899_0.537_0.537_0.486_c862.mtx,2,16384,104.54,0.053245,12.9985,0.061995,12.9667
k16_0.899_0.537_0.537_0.486_c862.mtx,2,32768,104.146,0.0535,6.42371,0.0589605,6.39163
k16_0.899_0.537_0.537_0.486_c862.mtx,2,65536,104.2,0.088033,3.54876,0.146662,3.47235
k16_0.899_0.537_0.537_0.486_c862.mtx,4,2,102.886,0.050855,24502.6,17.9506,24495.6
k16_0.899_0.537_0.537_0.486_c862.mtx,4,4,103.147,0.053323,12380.3,7.74592,12377.7
k16_0.899_0.537_0.537_0.486_c862.mtx,4,8,102.727,0.053521,6318.46,3.32899,6316.77
k16_0.899_0.537_0.537_0.486_c862.mtx,4,16,102.771,0.052386,3295.86,2.7869,3295.56
k16_0.899_0.537_0.537_0.486_c862.mtx,4,32,105.698,0.059308,1757.97,2.98989,1756.55
k16_0.899_0.537_0.537_0.486_c862.mtx,4,64,102.705,0.051181,986.554,1.30349,985.829
k16_0.899_0.537_0.537_0.486_c862.mtx,4,128,105.424,0.057031,587.672,0.41341,587.53
k16_0.899_0.537_0.537_0.486_c862.mtx,4,256,103.274,0.051889,377.809,0.135726,377.804
k16_0.899_0.537_0.537_0.486_c862.mtx,4,512,106.617,0.058882,243.627,0.121294,243.558
k16_0.899_0.537_0.537_0.486_c862.mtx,4,1024,102.766,0.051643,154.348,0.0921713,154.287
k16_0.899_0.537_0.537_0.486_c862.mtx,4,2048,105.503,0.059091,91.5883,0.188892,91.5115
k16_0.899_0.537_0.537_0.486_c862.mtx,4,4096,103.255,0.052188,50.5169,0.054895,50.4922
k16_0.899_0.537_0.537_0.486_c862.mtx,4,8192,102.835,0.05192,26.1459,0.0614432,26.1181
k16_0.899_0.537_0.537_0.486_c862.mtx,4,16384,102.774,0.05393,13.0144,0.0572498,12.9816
