filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k21_0.936_0.437_0.437_0.484_c862-r4_c4.tns,Assemble: 0.139342 ms
k21_0.936_0.437_0.437_0.484_c862-r4_c8.tns,B size: (524288 x 262144 x 4 x 8), 1047836100 bytes
k21_0.936_0.437_0.437_0.484_c862-r4_c16.tns,Assemble: 0.080531 ms
k21_0.936_0.437_0.437_0.484_c862-r4_c32.tns,B size: (524288 x 65536 x 4 x 32), 1046650228 bytes
k21_0.936_0.437_0.437_0.484_c862-r4_c64.tns,B size: (524288 x 32768 x 4 x 64), 1045272092 bytes
k21_0.936_0.437_0.437_0.484_c862-r4_c128.tns,B size: (524288 x 16384 x 4 x 128), 1042825556 bytes
k21_0.936_0.437_0.437_0.484_c862-r4_c256.tns,B size: (524288 x 8192 x 4 x 256), 1038542468 bytes
k21_0.936_0.437_0.437_0.484_c862-r4_c512.tns,B size: (524288 x 4096 x 4 x 512), 1031131340 bytes
k21_0.936_0.437_0.437_0.484_c862-r4_c1024.tns,B size: (524288 x 2048 x 4 x 1024), 1018767156 bytes
k21_0.936_0.437_0.437_0.484_c862-r4_c2048.tns,B size: (524288 x 1024 x 4 x 2048), 998909764 bytes
k21_0.936_0.437_0.437_0.484_c862-r4_c4096.tns,B size: (524288 x 512 x 4 x 4096), 968569452 bytes
k21_0.936_0.437_0.437_0.484_c862-r8_c4.tns,Assemble: 0.092173 ms
k21_0.936_0.437_0.437_0.484_c862-r8_c8.tns,Assemble: 0.125807 ms
k21_0.936_0.437_0.437_0.484_c862-r8_c16.tns,c size: (8 x 16), 1032 bytes
k21_0.936_0.437_0.437_0.484_c862-r8_c32.tns,B size: (262144 x 65536 x 8 x 32), 1044431500 bytes
k21_0.936_0.437_0.437_0.484_c862-r8_c64.tns,B size: (262144 x 32768 x 8 x 64), 1042128764 bytes
k21_0.936_0.437_0.437_0.484_c862-r8_c128.tns,B size: (262144 x 16384 x 8 x 128), 1038127924 bytes
k21_0.936_0.437_0.437_0.484_c862-r8_c256.tns,B size: (262144 x 8192 x 8 x 256), 1031325732 bytes
k21_0.936_0.437_0.437_0.484_c862-r8_c512.tns,B size: (262144 x 4096 x 8 x 512), 1020021820 bytes
k21_0.936_0.437_0.437_0.484_c862-r8_c1024.tns,B size: (262144 x 2048 x 8 x 1024), 1002061580 bytes
k21_0.936_0.437_0.437_0.484_c862-r8_c2048.tns,B size: (262144 x 1024 x 8 x 2048), 974893916 bytes
k21_0.936_0.437_0.437_0.484_c862-r8_c4096.tns,B size: (262144 x 512 x 8 x 4096), 936265028 bytes
k21_0.936_0.437_0.437_0.484_c862-r16_c4.tns,Assemble: 0.125065 ms
k21_0.936_0.437_0.437_0.484_c862-r16_c8.tns,Assemble: 0.117241 ms
k21_0.936_0.437_0.437_0.484_c862-r16_c16.tns,Assemble: 0.11693 ms
k21_0.936_0.437_0.437_0.484_c862-r16_c32.tns,B size: (131072 x 65536 x 16 x 32), 1041737012 bytes
k21_0.936_0.437_0.437_0.484_c862-r16_c64.tns,B size: (131072 x 32768 x 16 x 64), 1037820604 bytes
k21_0.936_0.437_0.437_0.484_c862-r16_c128.tns,B size: (131072 x 16384 x 16 x 128), 1031216684 bytes
k21_0.936_0.437_0.437_0.484_c862-r16_c256.tns,B size: (131072 x 8192 x 16 x 256), 1020419364 bytes
