filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.537_0.561_c862-r128_c128.tns,114.546,0.070181,13.4302,0.0852502,13.3934
k16_0.899_0.537_0.537_0.561_c862-r128_c256.tns,111.919,0.058868,12.7789,0.0766542,12.7356
k16_0.899_0.537_0.537_0.561_c862-r128_c512.tns,B size: (512 x 128 x 128 x 512), 53126836 bytes
k16_0.899_0.537_0.537_0.561_c862-r128_c1024.tns,B size: (512 x 64 x 128 x 1024), 49756636 bytes
k16_0.899_0.537_0.537_0.561_c862-r128_c2048.tns,B size: (512 x 32 x 128 x 2048), 45785588 bytes
k16_0.899_0.537_0.537_0.561_c862-r256_c4.tns,113.948,0.058946,23.483,0.0552261,23.4517
k16_0.899_0.537_0.537_0.561_c862-r256_c8.tns,114.242,0.069403,23.2689,0.0655331,23.2248
k16_0.899_0.537_0.537_0.561_c862-r256_c16.tns,112.064,0.058693,20.3942,0.090111,20.3479
k16_0.899_0.537_0.537_0.561_c862-r256_c32.tns,112.041,0.059603,15.7032,0.096728,15.6556
k16_0.899_0.537_0.537_0.561_c862-r256_c64.tns,111.69,0.058725,12.4725,0.0749693,12.4199
k16_0.899_0.537_0.537_0.561_c862-r256_c128.tns,111.811,0.060004,11.3869,0.0691112,11.3434
k16_0.899_0.537_0.537_0.561_c862-r256_c256.tns,111.696,0.063989,11.7794,0.0797315,11.7312
k16_0.899_0.537_0.537_0.561_c862-r256_c512.tns,B size: (256 x 128 x 256 x 512), 52862652 bytes
k16_0.899_0.537_0.537_0.561_c862-r256_c1024.tns,B size: (256 x 64 x 256 x 1024), 49623516 bytes
k16_0.899_0.537_0.537_0.561_c862-r256_c2048.tns,B size: (256 x 32 x 256 x 2048), 45718004 bytes
k16_0.899_0.537_0.537_0.561_c862-r512_c4.tns,113.092,0.0644,23.1905,0.0730543,23.1473
k16_0.899_0.537_0.537_0.561_c862-r512_c8.tns,111.836,0.062168,19.311,0.0801825,19.256
k16_0.899_0.537_0.537_0.561_c862-r512_c16.tns,111.946,0.060427,15.498,0.113462,15.4314
k16_0.899_0.537_0.537_0.561_c862-r512_c32.tns,111.781,0.060435,12.07,0.0829466,11.9978
k16_0.899_0.537_0.537_0.561_c862-r512_c64.tns,111.934,0.06365,10.5102,0.071638,10.4697
k16_0.899_0.537_0.537_0.561_c862-r512_c128.tns,111.816,0.060023,10.4046,0.0600579,10.3664
k16_0.899_0.537_0.537_0.561_c862-r512_c256.tns,114.278,0.064221,11.2918,0.0685627,11.248
k16_0.899_0.537_0.537_0.561_c862-r512_c512.tns,B size: (128 x 128 x 512 x 512), 52730556 bytes
k16_0.899_0.537_0.537_0.561_c862-r512_c1024.tns,B size: (128 x 64 x 512 x 1024), 49556956 bytes
k16_0.899_0.537_0.537_0.561_c862-r512_c2048.tns,B size: (128 x 32 x 512 x 2048), 45684212 bytes
k16_0.899_0.537_0.537_0.561_c862-r1024_c4.tns,114.399,0.070739,19.2533,0.0826949,19.1951
k16_0.899_0.537_0.537_0.561_c862-r1024_c8.tns,111.753,0.059375,14.5014,0.0773045,14.4517
k16_0.899_0.537_0.537_0.561_c862-r1024_c16.tns,113.432,0.066477,11.8235,0.101074,11.7922
k16_0.899_0.537_0.537_0.561_c862-r1024_c32.tns,117.595,0.08973,10.2039,0.130078,10.1061
k16_0.899_0.537_0.537_0.561_c862-r1024_c64.tns,111.795,0.06017,9.46146,0.0711257,9.40932
k16_0.899_0.537_0.537_0.561_c862-r1024_c128.tns,113.766,0.069121,9.84439,0.0736538,9.7947
k16_0.899_0.537_0.537_0.561_c862-r1024_c256.tns,114.72,0.068509,11.0511,0.0647745,11.009
k16_0.899_0.537_0.537_0.561_c862-r1024_c512.tns,B size: (64 x 128 x 1024 x 512), 52664508 bytes
k16_0.899_0.537_0.537_0.561_c862-r1024_c1024.tns,B size: (64 x 64 x 1024 x 1024), 49523676 bytes
k16_0.899_0.537_0.537_0.561_c862-r1024_c2048.tns,B size: (64 x 32 x 1024 x 2048), 45667316 bytes
k16_0.899_0.537_0.537_0.561_c862-r2048_c4.tns,113.506,0.063966,14.4208,0.0822325,14.3679
k16_0.899_0.537_0.537_0.561_c862-r2048_c8.tns,111.258,0.059599,11.184,0.0625051,11.1421
k16_0.899_0.537_0.537_0.561_c862-r2048_c16.tns,111.847,0.058484,9.59578,0.0614866,9.5588
k16_0.899_0.537_0.537_0.561_c862-r2048_c32.tns,114.486,0.068155,8.89002,0.0631662,8.84367
k16_0.899_0.537_0.537_0.561_c862-r2048_c64.tns,113.385,0.062641,8.86105,0.0601108,8.82136
k16_0.899_0.537_0.537_0.561_c862-r2048_c128.tns,113.681,0.066709,9.46246,0.0754314,9.40986
k16_0.899_0.537_0.537_0.561_c862-r2048_c256.tns,114.515,0.068455,10.8219,0.0715094,10.7775
k16_0.899_0.537_0.537_0.561_c862-r2048_c512.tns,B size: (32 x 128 x 2048 x 512), 52631484 bytes
k16_0.899_0.537_0.537_0.561_c862-r2048_c1024.tns,B size: (32 x 64 x 2048 x 1024), 49507036 bytes
k16_0.899_0.537_0.537_0.561_c862-r2048_c2048.tns,B size: (32 x 32 x 2048 x 2048), 45658868 bytes
k16_0.899_0.537_0.537_0.539_c862-r4_c4.tns,112.332,0.071697,16.2491,0.0263917,16.2343
k16_0.899_0.537_0.537_0.539_c862-r4_c8.tns,112.181,0.072235,16.4932,0.0256079,16.4774
k16_0.899_0.537_0.537_0.539_c862-r4_c16.tns,112.146,0.066748,16.9427,0.0201583,16.9286
k16_0.899_0.537_0.537_0.539_c862-r4_c32.tns,110.292,0.05749,17.4388,0.0240523,17.4254
k16_0.899_0.537_0.537_0.539_c862-r4_c64.tns,112.675,0.064773,18.3723,0.0387543,18.3491
k16_0.899_0.537_0.537_0.539_c862-r4_c128.tns,110.446,0.059207,19.8093,0.0578551,19.7919
k16_0.899_0.537_0.537_0.539_c862-r4_c256.tns,112.163,0.067763,21.659,0.0598138,21.625
k16_0.899_0.537_0.537_0.539_c862-r4_c512.tns,B size: (16384 x 128 x 4 x 512), 56286444 bytes
k16_0.899_0.537_0.537_0.539_c862-r4_c1024.tns,B size: (16384 x 64 x 4 x 1024), 50385084 bytes
k16_0.899_0.537_0.537_0.539_c862-r4_c2048.tns,B size: (16384 x 32 x 4 x 2048), 44363260 bytes
k16_0.899_0.537_0.537_0.539_c862-r8_c4.tns,109.694,0.065219,16.1523,0.0226009,16.1414
k16_0.899_0.537_0.537_0.539_c862-r8_c8.tns,109.527,0.05606,16.4147,0.0193304,16.4019
k16_0.899_0.537_0.537_0.539_c862-r8_c16.tns,111.762,0.063997,17.3217,0.0162556,17.3154
k16_0.899_0.537_0.537_0.539_c862-r8_c32.tns,110.601,0.058032,18.2699,0.0432403,18.26
k16_0.899_0.537_0.537_0.539_c862-r8_c64.tns,110.44,0.060805,19.6992,0.0488851,19.6734
k16_0.899_0.537_0.537_0.539_c862-r8_c128.tns,112.955,0.068067,21.6331,0.0664122,21.6081
k16_0.899_0.537_0.537_0.539_c862-r8_c256.tns,110.214,0.061038,22.8911,0.0720519,22.8473
k16_0.899_0.537_0.537_0.539_c862-r8_c512.tns,B size: (8192 x 128 x 8 x 512), 52854540 bytes
k16_0.899_0.537_0.537_0.539_c862-r8_c1024.tns,B size: (8192 x 64 x 8 x 1024), 47523956 bytes
k16_0.899_0.537_0.537_0.539_c862-r8_c2048.tns,B size: (8192 x 32 x 8 x 2048), 42444316 bytes
k16_0.899_0.537_0.537_0.539_c862-r16_c4.tns,114.131,0.066642,16.265,0.0229009,16.2559
k16_0.899_0.537_0.537_0.539_c862-r16_c8.tns,113.262,0.066674,16.7206,0.0273241,16.7082
k16_0.899_0.537_0.537_0.539_c862-r16_c16.tns,114.464,0.062041,18.1257,0.0367482,18.1024
k16_0.899_0.537_0.537_0.539_c862-r16_c32.tns,111.974,0.06164,19.8602,0.0419502,19.8415
k16_0.899_0.537_0.537_0.539_c862-r16_c64.tns,114.3,0.068555,21.8678,0.0694552,21.8301
k16_0.899_0.537_0.537_0.539_c862-r16_c128.tns,111.863,0.061164,22.7069,0.0637415,22.6779
k16_0.899_0.537_0.537_0.539_c862-r16_c256.tns,111.812,0.061732,20.9513,0.0816335,20.9
k16_0.899_0.537_0.537_0.539_c862-r16_c512.tns,B size: (4096 x 128 x 16 x 512), 50039196 bytes
k16_0.899_0.537_0.537_0.539_c862-r16_c1024.tns,B size: (4096 x 64 x 16 x 1024), 45642980 bytes
k16_0.899_0.537_0.537_0.539_c862-r16_c2048.tns,B size: (4096 x 32 x 16 x 2048), 41385124 bytes
