filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.526_0.484_c862.mtx,87.2867,0.052317,2.34252,0.10481,2.29634
k16_0.899_0.537_0.527_0.484_c862.mtx,87.2569,0.053058,2.35676,0.107563,2.30489
k16_0.899_0.537_0.528_0.484_c862.mtx,87.7841,0.052795,2.38874,0.114847,2.32059
k16_0.899_0.537_0.529_0.484_c862.mtx,86.8348,0.049809,2.38097,0.110986,2.32532
k16_0.899_0.537_0.530_0.484_c862.mtx,86.8187,0.049032,2.3979,0.109016,2.33737
k16_0.899_0.537_0.531_0.484_c862.mtx,88.1225,0.05222,2.40799,0.101725,2.34695
k16_0.899_0.537_0.532_0.484_c862.mtx,87.719,0.052567,2.42228,0.113787,2.35701
k16_0.899_0.537_0.533_0.484_c862.mtx,87.1065,0.050818,2.43237,0.127556,2.37277
k16_0.899_0.537_0.534_0.484_c862.mtx,89.4914,0.059213,2.46571,0.126638,2.39649
k16_0.899_0.537_0.535_0.484_c862.mtx,88.5554,0.055378,2.45107,0.110996,2.38969
k16_0.899_0.537_0.536_0.484_c862.mtx,89.4654,0.061359,2.49146,0.140388,2.4143
k16_0.899_0.537_0.537_0.484_c862.mtx,89.6508,0.061659,2.51854,0.155293,2.42704
k16_0.899_0.537_0.537_0.485_c862.mtx,88.0239,0.055134,2.48402,0.115965,2.42114
k16_0.899_0.537_0.537_0.486_c862.mtx,88.1578,0.053212,2.48451,0.115484,2.43394
k16_0.899_0.537_0.537_0.487_c862.mtx,88.3607,0.05506,2.52359,0.122534,2.45811
k16_0.899_0.537_0.537_0.488_c862.mtx,88.1674,0.055165,2.51978,0.105085,2.4588
k16_0.899_0.537_0.537_0.489_c862.mtx,87.1593,0.050312,2.53286,0.10893,2.47559
k16_0.899_0.537_0.537_0.490_c862.mtx,87.1882,0.049847,2.56798,0.138867,2.49905
k16_0.899_0.537_0.537_0.491_c862.mtx,86.8257,0.050179,2.58185,0.11604,2.50014
k16_0.899_0.537_0.537_0.492_c862.mtx,87.5867,0.051553,2.57824,0.124746,2.50591
k16_0.899_0.537_0.537_0.493_c862.mtx,87.7565,0.051491,2.61576,0.113106,2.54946
k16_0.899_0.537_0.537_0.494_c862.mtx,87.6964,0.052482,2.60201,0.125072,2.53001
k16_0.899_0.537_0.537_0.495_c862.mtx,87.8866,0.051764,2.61169,0.130789,2.54232
k16_0.899_0.537_0.537_0.496_c862.mtx,87.2928,0.050869,2.64672,0.130906,2.56784
