filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k21_0.936_0.437_0.437_0.484_c862-r128_c128.tns,c size: (128 x 128), 131080 bytes
k21_0.936_0.437_0.437_0.484_c862-r128_c256.tns,B size: (16384 x 8192 x 128 x 256), 947994944 bytes
k21_0.936_0.437_0.437_0.484_c862-r128_c512.tns,B size: (16384 x 4096 x 128 x 512), 909403248 bytes
k21_0.936_0.437_0.437_0.484_c862-r128_c1024.tns,B size: (16384 x 2048 x 128 x 1024), 866224472 bytes
k21_0.936_0.437_0.437_0.484_c862-r128_c2048.tns,B size: (16384 x 1024 x 128 x 2048), 822300152 bytes
k21_0.936_0.437_0.437_0.484_c862-r256_c128.tns,c size: (256 x 128), 262152 bytes
k21_0.936_0.437_0.437_0.484_c862-r256_c256.tns,c size: (256 x 256), 524296 bytes
k21_0.936_0.437_0.437_0.484_c862-r256_c512.tns,B size: (8192 x 4096 x 256 x 512), 868217224 bytes
k21_0.936_0.437_0.437_0.484_c862-r256_c1024.tns,B size: (8192 x 2048 x 256 x 1024), 826895808 bytes
k21_0.936_0.437_0.437_0.484_c862-r256_c2048.tns,B size: (8192 x 1024 x 256 x 2048), 789469032 bytes
k21_0.936_0.437_0.437_0.484_c862-r512_c128.tns,c size: (512 x 128), 524296 bytes
k21_0.936_0.437_0.437_0.484_c862-r512_c256.tns,c size: (512 x 256), 1048584 bytes
k21_0.936_0.437_0.437_0.484_c862-r512_c512.tns,c size: (512 x 512), 2097160 bytes
k21_0.936_0.437_0.437_0.484_c862-r512_c1024.tns,B size: (4096 x 2048 x 512 x 1024), 794411024 bytes
k21_0.936_0.437_0.437_0.484_c862-r512_c2048.tns,B size: (4096 x 1024 x 512 x 2048), 766051192 bytes
k21_0.936_0.437_0.437_0.484_c862-r1024_c128.tns,c size: (1024 x 128), 1048584 bytes
k21_0.936_0.437_0.437_0.484_c862-r1024_c256.tns,c size: (1024 x 256), 2097160 bytes
k21_0.936_0.437_0.437_0.484_c862-r1024_c512.tns,c size: (1024 x 512), 4194312 bytes
k21_0.936_0.437_0.437_0.484_c862-r1024_c1024.tns,c size: (1024 x 1024), 8388616 bytes
k21_0.936_0.437_0.437_0.484_c862-r1024_c2048.tns,B size: (2048 x 1024 x 1024 x 2048), 751497856 bytes
k21_0.936_0.437_0.437_0.484_c862-r2048_c128.tns,c size: (2048 x 128), 2097160 bytes
k21_0.936_0.437_0.437_0.484_c862-r2048_c256.tns,c size: (2048 x 256), 4194312 bytes
k21_0.936_0.437_0.437_0.484_c862-r2048_c512.tns,c size: (2048 x 512), 8388616 bytes
k21_0.936_0.437_0.437_0.484_c862-r2048_c1024.tns,c size: (2048 x 1024), 16777224 bytes
k21_0.936_0.437_0.437_0.484_c862-r2048_c2048.tns,c size: (2048 x 2048), 33554440 bytes
k21_0.899_0.489_0.437_0.484_c862-r128_c128.tns,c size: (128 x 128), 131080 bytes
k21_0.899_0.489_0.437_0.484_c862-r128_c256.tns,B size: (16384 x 8192 x 128 x 256), 1092240664 bytes
k21_0.899_0.489_0.437_0.484_c862-r128_c512.tns,B size: (16384 x 4096 x 128 x 512), 1045419800 bytes
k21_0.899_0.489_0.437_0.484_c862-r128_c1024.tns,B size: (16384 x 2048 x 128 x 1024), 992826008 bytes
k21_0.899_0.489_0.437_0.484_c862-r128_c2048.tns,B size: (16384 x 1024 x 128 x 2048), 940169136 bytes
k21_0.899_0.489_0.437_0.484_c862-r256_c128.tns,c size: (256 x 128), 262152 bytes
k21_0.899_0.489_0.437_0.484_c862-r256_c256.tns,c size: (256 x 256), 524296 bytes
k21_0.899_0.489_0.437_0.484_c862-r256_c512.tns,B size: (8192 x 4096 x 256 x 512), 995824152 bytes
k21_0.899_0.489_0.437_0.484_c862-r256_c1024.tns,B size: (8192 x 2048 x 256 x 1024), 945885600 bytes
k21_0.899_0.489_0.437_0.484_c862-r256_c2048.tns,B size: (8192 x 1024 x 256 x 2048), 902144608 bytes
k21_0.899_0.489_0.437_0.484_c862-r512_c128.tns,c size: (512 x 128), 524296 bytes
k21_0.899_0.489_0.437_0.484_c862-r512_c256.tns,c size: (512 x 256), 1048584 bytes
k21_0.899_0.489_0.437_0.484_c862-r512_c512.tns,c size: (512 x 512), 2097160 bytes
k21_0.899_0.489_0.437_0.484_c862-r512_c1024.tns,B size: (4096 x 2048 x 512 x 1024), 907948496 bytes
k21_0.899_0.489_0.437_0.484_c862-r512_c2048.tns,B size: (4096 x 1024 x 512 x 2048), 876050880 bytes
k21_0.899_0.489_0.437_0.484_c862-r1024_c128.tns,c size: (1024 x 128), 1048584 bytes
k21_0.899_0.489_0.437_0.484_c862-r1024_c256.tns,c size: (1024 x 256), 2097160 bytes
k21_0.899_0.489_0.437_0.484_c862-r1024_c512.tns,c size: (1024 x 512), 4194312 bytes
k21_0.899_0.489_0.437_0.484_c862-r1024_c1024.tns,c size: (1024 x 1024), 8388616 bytes
k21_0.899_0.489_0.437_0.484_c862-r1024_c2048.tns,B size: (2048 x 1024 x 1024 x 2048), 860559192 bytes
k21_0.899_0.489_0.437_0.484_c862-r2048_c128.tns,c size: (2048 x 128), 2097160 bytes
k21_0.899_0.489_0.437_0.484_c862-r2048_c256.tns,c size: (2048 x 256), 4194312 bytes
k21_0.899_0.489_0.437_0.484_c862-r2048_c512.tns,c size: (2048 x 512), 8388616 bytes
k21_0.899_0.489_0.437_0.484_c862-r2048_c1024.tns,c size: (2048 x 1024), 16777224 bytes
k21_0.899_0.489_0.437_0.484_c862-r2048_c2048.tns,c size: (2048 x 2048), 33554440 bytes
k21_0.942_0.437_0.437_0.484_c862-r128_c128.tns,c size: (128 x 128), 131080 bytes
k21_0.942_0.437_0.437_0.484_c862-r128_c256.tns,B size: (16384 x 8192 x 128 x 256), 997037836 bytes
k21_0.942_0.437_0.437_0.484_c862-r128_c512.tns,B size: (16384 x 4096 x 128 x 512), 955782884 bytes
k21_0.942_0.437_0.437_0.484_c862-r128_c1024.tns,B size: (16384 x 2048 x 128 x 1024), 910152588 bytes
k21_0.942_0.437_0.437_0.484_c862-r128_c2048.tns,B size: (16384 x 1024 x 128 x 2048), 864076612 bytes
k21_0.942_0.437_0.437_0.484_c862-r256_c128.tns,c size: (256 x 128), 262152 bytes
k21_0.942_0.437_0.437_0.484_c862-r256_c256.tns,c size: (256 x 256), 524296 bytes
