filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k19_0.899_0.498_0.437_0.484_c862.mtx,90.3192,0.051152,23.8699,0.187083,23.7543
k19_0.899_0.499_0.437_0.484_c862.mtx,90.4168,0.054964,24.9318,0.15211,24.8734
k19_0.899_0.500_0.437_0.484_c862.mtx,90.5832,0.055265,25.1121,0.201209,24.9836
k19_0.899_0.501_0.437_0.484_c862.mtx,90.6612,0.054218,24.467,0.108319,24.4282
k19_0.899_0.502_0.437_0.484_c862.mtx,92.298,0.076452,33.718,0.682588,33.8247
k19_0.899_0.503_0.437_0.484_c862.mtx,90.6542,0.05114,26.1621,0.872319,25.7535
k19_0.899_0.504_0.437_0.484_c862.mtx,90.603,0.051861,26.2575,0.19772,26.1296
k19_0.899_0.505_0.437_0.484_c862.mtx,90.3808,0.051577,26.0445,0.258256,25.8556
k19_0.899_0.506_0.437_0.484_c862.mtx,90.5465,0.049485,26.3749,0.116065,26.3086
k19_0.899_0.507_0.437_0.484_c862.mtx,90.6821,0.049788,25.8231,0.393413,25.5878
k19_0.899_0.508_0.437_0.484_c862.mtx,90.7776,0.052755,26.9067,0.191132,26.8115
k19_0.899_0.509_0.437_0.484_c862.mtx,90.6262,0.054228,26.2323,0.09992,26.1703
k19_0.899_0.510_0.437_0.484_c862.mtx,92.0076,0.049797,27.2604,0.0731644,27.2197
k19_0.899_0.511_0.437_0.484_c862.mtx,90.9327,0.05274,27.4587,0.105703,27.4125
k19_0.899_0.512_0.437_0.484_c862.mtx,90.8622,0.05775,27.6235,0.209347,27.5307
k19_0.899_0.513_0.437_0.484_c862.mtx,90.7623,0.051625,27.9453,0.147921,27.8252
k19_0.899_0.514_0.437_0.484_c862.mtx,90.8296,0.051521,27.9643,0.195465,27.8733
k19_0.899_0.515_0.437_0.484_c862.mtx,91.0577,0.054856,27.6136,0.114566,27.552
k19_0.899_0.516_0.437_0.484_c862.mtx,90.906,0.053238,28.6383,0.157844,28.5512
k19_0.899_0.517_0.437_0.484_c862.mtx,90.95,0.050802,29.4914,0.833822,28.8586
k19_0.899_0.518_0.437_0.484_c862.mtx,91.2727,0.051152,29.1232,0.149482,29.0316
k19_0.899_0.519_0.437_0.484_c862.mtx,90.776,0.050591,29.3431,0.2086,29.2229
k19_0.899_0.520_0.437_0.484_c862.mtx,91.309,0.052865,29.6869,0.163434,29.5882
k19_0.899_0.521_0.437_0.484_c862.mtx,91.1728,0.052615,29.3382,0.151892,29.2393
k19_0.899_0.522_0.437_0.484_c862.mtx,91.4265,0.054733,29.9534,0.208037,29.8192
k19_0.899_0.523_0.437_0.484_c862.mtx,91.2519,0.052971,30.2082,0.108454,30.1608
k19_0.899_0.524_0.437_0.484_c862.mtx,91.2312,0.054912,30.1294,0.18322,30.0454
k19_0.899_0.525_0.437_0.484_c862.mtx,91.6498,0.053434,30.8058,0.161054,30.6939
k19_0.899_0.526_0.437_0.484_c862.mtx,91.3354,0.052844,31.0626,0.140685,30.9829
k19_0.899_0.527_0.437_0.484_c862.mtx,91.5299,0.05413,31.233,0.109457,31.1863
k19_0.899_0.528_0.437_0.484_c862.mtx,91.5706,0.052875,31.705,0.184429,31.5958
k19_0.899_0.529_0.437_0.484_c862.mtx,91.5858,0.054281,32.2209,0.608504,32.3259
k19_0.899_0.530_0.437_0.484_c862.mtx,91.5682,0.056914,32.5042,0.77075,32.0717
k19_0.899_0.531_0.437_0.484_c862.mtx,91.5056,0.047035,32.0379,0.154344,31.9445
k19_0.899_0.532_0.437_0.484_c862.mtx,91.7198,0.059029,32.4744,0.111855,32.4298
k19_0.899_0.533_0.437_0.484_c862.mtx,91.7676,0.054288,32.8421,0.129281,32.7787
k19_0.899_0.534_0.437_0.484_c862.mtx,91.391,0.050411,32.9594,0.135058,32.9034
k19_0.899_0.535_0.437_0.484_c862.mtx,91.976,0.073538,33.4127,0.125715,33.3217
k19_0.899_0.536_0.437_0.484_c862.mtx,91.8215,0.053389,33.467,0.118683,33.403
k19_0.899_0.537_0.437_0.484_c862.mtx,91.7523,0.054757,33.8736,0.0920162,33.8527
k19_0.899_0.537_0.438_0.484_c862.mtx,92.0876,0.05439,35.4642,0.961655,34.6191
k19_0.899_0.537_0.439_0.484_c862.mtx,91.6944,0.04968,34.3272,0.163853,34.2475
k19_0.899_0.537_0.440_0.484_c862.mtx,91.9125,0.053103,34.6799,0.204464,34.5622
k19_0.899_0.537_0.441_0.484_c862.mtx,92.028,0.060696,34.6631,0.0811645,34.6285
k19_0.899_0.537_0.442_0.484_c862.mtx,95.2086,0.058415,45.8477,1.47618,46.5959
k19_0.899_0.537_0.443_0.484_c862.mtx,91.9611,0.054532,35.6661,0.691681,35.355
k19_0.899_0.537_0.444_0.484_c862.mtx,91.9666,0.0519,35.6268,0.151356,35.5464
k19_0.899_0.537_0.445_0.484_c862.mtx,92.2817,0.053525,36.0049,0.119976,35.9303
k19_0.899_0.537_0.446_0.484_c862.mtx,91.9324,0.055867,36.093,0.13353,36.0313
k19_0.899_0.537_0.447_0.484_c862.mtx,91.9775,0.047705,37.1579,0.927797,36.6042
k19_0.899_0.537_0.448_0.484_c862.mtx,92.0584,0.050782,36.7335,0.150386,36.6227
k19_0.899_0.537_0.449_0.484_c862.mtx,92.1907,0.053898,37.3773,0.648298,37.1045
k19_0.899_0.537_0.450_0.484_c862.mtx,92.2658,0.048998,37.1909,0.0632539,37.1695
k19_0.899_0.537_0.451_0.484_c862.mtx,92.3873,0.054374,37.6095,0.145236,37.535
k19_0.899_0.537_0.452_0.484_c862.mtx,92.1841,0.04926,37.7361,0.117506,37.6505
k19_0.899_0.537_0.453_0.484_c862.mtx,92.3128,0.054099,38.2396,0.110656,38.1783
k19_0.899_0.537_0.454_0.484_c862.mtx,92.6509,0.052495,38.431,0.114936,38.3547
k19_0.899_0.537_0.455_0.484_c862.mtx,92.6934,0.056242,38.6086,0.123451,38.541
k19_0.899_0.537_0.456_0.484_c862.mtx,92.6679,0.053655,38.2422,0.697964,37.7736
k19_0.899_0.537_0.457_0.484_c862.mtx,92.4757,0.05156,39.2552,0.0705841,39.2016
k19_0.899_0.537_0.458_0.484_c862.mtx,92.3857,0.048713,39.5631,0.140894,39.4529
k19_0.899_0.537_0.459_0.484_c862.mtx,93.0166,0.053249,40.0517,0.102872,39.9876
k19_0.899_0.537_0.460_0.484_c862.mtx,92.7842,0.056225,40.3566,0.122794,40.2733
k19_0.899_0.537_0.461_0.484_c862.mtx,92.3763,0.051326,40.4681,0.105989,40.4054
k19_0.899_0.537_0.462_0.484_c862.mtx,92.9557,0.054062,40.9513,0.0895782,40.9069
k19_0.899_0.537_0.463_0.484_c862.mtx,92.8361,0.052682,41.3097,0.436057,41.0913
k19_0.899_0.537_0.464_0.484_c862.mtx,92.9661,0.052244,39.9437,0.0844582,39.9031
k19_0.899_0.537_0.465_0.484_c862.mtx,93.0476,0.056298,43.3114,0.416509,43.3462
k19_0.899_0.537_0.466_0.484_c862.mtx,93.219,0.055909,42.2204,0.0827179,42.1865
k19_0.899_0.537_0.467_0.484_c862.mtx,94.1083,0.053652,42.5364,0.0844549,42.5001
k19_0.899_0.537_0.468_0.484_c862.mtx,93.9312,0.053854,42.8444,0.139566,42.7562
k19_0.899_0.537_0.469_0.484_c862.mtx,93.1743,0.050244,43.0708,0.096592,43.0193
k19_0.899_0.537_0.470_0.484_c862.mtx,93.1292,0.052003,43.5244,0.17702,43.4258
k19_0.899_0.537_0.471_0.484_c862.mtx,93.3194,0.053934,42.297,0.134008,42.2048
k19_0.899_0.537_0.472_0.484_c862.mtx,93.8212,0.055604,44.3161,0.109383,44.2417
