filename,rows,cols,block_median,noblock_median,tensor_median
k19_0.899_0.526_0.437_0.484_c862.mtx,1024,128,,30.8619,55.7616
k19_0.899_0.526_0.437_0.484_c862.mtx,1024,16,,30.8619,55.808
k19_0.899_0.526_0.437_0.484_c862.mtx,1024,2,,30.8619,48.996
k19_0.899_0.526_0.437_0.484_c862.mtx,1024,256,,30.8619,55.7697
k19_0.899_0.526_0.437_0.484_c862.mtx,1024,32,,30.8619,55.3532
k19_0.899_0.526_0.437_0.484_c862.mtx,1024,4,,30.8619,54.6929
k19_0.899_0.526_0.437_0.484_c862.mtx,1024,512,,30.8619,55.2582
k19_0.899_0.526_0.437_0.484_c862.mtx,1024,64,,30.8619,55.2324
k19_0.899_0.526_0.437_0.484_c862.mtx,1024,8,,30.8619,55.2244
k19_0.899_0.526_0.437_0.484_c862.mtx,128,128,,30.8619,55.7888
k19_0.899_0.526_0.437_0.484_c862.mtx,128,16,,30.8619,56.3636
k19_0.899_0.526_0.437_0.484_c862.mtx,128,2,,30.8619,51.5544
k19_0.899_0.526_0.437_0.484_c862.mtx,128,256,,30.8619,56.2713
k19_0.899_0.526_0.437_0.484_c862.mtx,128,32,,30.8619,53.9663
k19_0.899_0.526_0.437_0.484_c862.mtx,128,4,,30.8619,54.6598
k19_0.899_0.526_0.437_0.484_c862.mtx,128,512,,30.8619,55.6166
k19_0.899_0.526_0.437_0.484_c862.mtx,128,64,,30.8619,55.4596
k19_0.899_0.526_0.437_0.484_c862.mtx,128,8,,30.8619,57.0165
k19_0.899_0.526_0.437_0.484_c862.mtx,131072,128,,30.8619,25.7374
k19_0.899_0.526_0.437_0.484_c862.mtx,131072,16,,30.8619,26.1379
k19_0.899_0.526_0.437_0.484_c862.mtx,131072,2,,30.8619,23.5806
k19_0.899_0.526_0.437_0.484_c862.mtx,131072,256,,30.8619,26.1498
k19_0.899_0.526_0.437_0.484_c862.mtx,131072,32,,30.8619,25.9942
k19_0.899_0.526_0.437_0.484_c862.mtx,131072,4,,30.8619,25.4903
k19_0.899_0.526_0.437_0.484_c862.mtx,131072,512,,30.8619,26.072
k19_0.899_0.526_0.437_0.484_c862.mtx,131072,64,,30.8619,25.8928
k19_0.899_0.526_0.437_0.484_c862.mtx,131072,8,,30.8619,30.465
k19_0.899_0.526_0.437_0.484_c862.mtx,16384,128,,30.8619,51.0779
k19_0.899_0.526_0.437_0.484_c862.mtx,16384,2,,30.8619,48.2361
k19_0.899_0.526_0.437_0.484_c862.mtx,16384,256,,30.8619,51.3202
k19_0.899_0.526_0.437_0.484_c862.mtx,16384,4,,30.8619,49.4856
k19_0.899_0.526_0.437_0.484_c862.mtx,16384,512,,30.8619,52.02
k19_0.899_0.526_0.437_0.484_c862.mtx,16384,8,,30.8619,50.7317
k19_0.899_0.526_0.437_0.484_c862.mtx,16,128,,30.8619,57.3908
k19_0.899_0.526_0.437_0.484_c862.mtx,16,16,,30.8619,56.8565
k19_0.899_0.526_0.437_0.484_c862.mtx,16,2,,30.8619,54.1391
k19_0.899_0.526_0.437_0.484_c862.mtx,16,256,,30.8619,56.7168
k19_0.899_0.526_0.437_0.484_c862.mtx,16,32,,30.8619,56.4887
k19_0.899_0.526_0.437_0.484_c862.mtx,16,4,,30.8619,55.1511
k19_0.899_0.526_0.437_0.484_c862.mtx,16,512,,30.8619,57.7291
k19_0.899_0.526_0.437_0.484_c862.mtx,16,64,,30.8619,56.266
k19_0.899_0.526_0.437_0.484_c862.mtx,16,8,,30.8619,57.4305
k19_0.899_0.526_0.437_0.484_c862.mtx,2048,128,,30.8619,54.9164
k19_0.899_0.526_0.437_0.484_c862.mtx,2048,16,,30.8619,53.6688
k19_0.899_0.526_0.437_0.484_c862.mtx,2048,2,,30.8619,51.2283
k19_0.899_0.526_0.437_0.484_c862.mtx,2048,256,,30.8619,55.0031
k19_0.899_0.526_0.437_0.484_c862.mtx,2048,32,,30.8619,54.2975
k19_0.899_0.526_0.437_0.484_c862.mtx,2048,4,,30.8619,53.6164
k19_0.899_0.526_0.437_0.484_c862.mtx,2048,512,,30.8619,54.29
k19_0.899_0.526_0.437_0.484_c862.mtx,2048,64,,30.8619,55.1991
k19_0.899_0.526_0.437_0.484_c862.mtx,2048,8,,30.8619,55.8872
k19_0.899_0.526_0.437_0.484_c862.mtx,256,128,,30.8619,55.7322
k19_0.899_0.526_0.437_0.484_c862.mtx,256,16,,30.8619,55.8518
k19_0.899_0.526_0.437_0.484_c862.mtx,256,2,,30.8619,52.9811
k19_0.899_0.526_0.437_0.484_c862.mtx,256,256,,30.8619,56.1236
k19_0.899_0.526_0.437_0.484_c862.mtx,256,32,,30.8619,54.1001
k19_0.899_0.526_0.437_0.484_c862.mtx,256,4,,30.8619,54.5056
k19_0.899_0.526_0.437_0.484_c862.mtx,256,512,,30.8619,56.5485
k19_0.899_0.526_0.437_0.484_c862.mtx,256,64,,30.8619,55.4145
k19_0.899_0.526_0.437_0.484_c862.mtx,256,8,,30.8619,55.4441
k19_0.899_0.526_0.437_0.484_c862.mtx,262144,128,,30.8619,0.0886685
k19_0.899_0.526_0.437_0.484_c862.mtx,262144,16,,30.8619,0.090734
k19_0.899_0.526_0.437_0.484_c862.mtx,262144,2,,30.8619,0.0918065
k19_0.899_0.526_0.437_0.484_c862.mtx,262144,256,,30.8619,0.0875445
k19_0.899_0.526_0.437_0.484_c862.mtx,262144,32,,30.8619,0.086578
k19_0.899_0.526_0.437_0.484_c862.mtx,262144,4,,30.8619,0.0911255
k19_0.899_0.526_0.437_0.484_c862.mtx,262144,512,,30.8619,0.0842995
k19_0.899_0.526_0.437_0.484_c862.mtx,262144,524288,,30.8619,0.0920985
k19_0.899_0.526_0.437_0.484_c862.mtx,262144,64,,30.8619,0.088474
k19_0.899_0.526_0.437_0.484_c862.mtx,262144,8,,30.8619,0.090481
k19_0.899_0.526_0.437_0.484_c862.mtx,2,128,,30.8619,56.8366
k19_0.899_0.526_0.437_0.484_c862.mtx,2,16,,30.8619,57.667
k19_0.899_0.526_0.437_0.484_c862.mtx,2,2,,30.8619,54.999
k19_0.899_0.526_0.437_0.484_c862.mtx,2,256,,30.8619,58.1014
k19_0.899_0.526_0.437_0.484_c862.mtx,2,32,,30.8619,57.6962
k19_0.899_0.526_0.437_0.484_c862.mtx,2,4,,30.8619,57.1745
k19_0.899_0.526_0.437_0.484_c862.mtx,2,512,,30.8619,58.9126
k19_0.899_0.526_0.437_0.484_c862.mtx,2,64,,30.8619,57.1763
k19_0.899_0.526_0.437_0.484_c862.mtx,2,8,,30.8619,57.7321
k19_0.899_0.526_0.437_0.484_c862.mtx,32768,128,,30.8619,46.7028
k19_0.899_0.526_0.437_0.484_c862.mtx,32768,16,,30.8619,47.5466
k19_0.899_0.526_0.437_0.484_c862.mtx,32768,2,,30.8619,43.1876
k19_0.899_0.526_0.437_0.484_c862.mtx,32768,256,,30.8619,46.1108
k19_0.899_0.526_0.437_0.484_c862.mtx,32768,32,,30.8619,46.6613
k19_0.899_0.526_0.437_0.484_c862.mtx,32768,4,,30.8619,46.6834
k19_0.899_0.526_0.437_0.484_c862.mtx,32768,512,,30.8619,45.776
k19_0.899_0.526_0.437_0.484_c862.mtx,32768,64,,30.8619,47.1125
k19_0.899_0.526_0.437_0.484_c862.mtx,32768,8,,30.8619,57.5831
k19_0.899_0.526_0.437_0.484_c862.mtx,4096,128,,30.8619,54.7505
k19_0.899_0.526_0.437_0.484_c862.mtx,4096,16,,30.8619,55.2531
k19_0.899_0.526_0.437_0.484_c862.mtx,4096,2,,30.8619,63.7851
k19_0.899_0.526_0.437_0.484_c862.mtx,4096,256,,30.8619,54.1176
k19_0.899_0.526_0.437_0.484_c862.mtx,4096,32,,30.8619,53.851
k19_0.899_0.526_0.437_0.484_c862.mtx,4096,4,,30.8619,67.211
k19_0.899_0.526_0.437_0.484_c862.mtx,4096,512,,30.8619,55.8908
k19_0.899_0.526_0.437_0.484_c862.mtx,4096,64,,30.8619,55.854
k19_0.899_0.526_0.437_0.484_c862.mtx,4096,8,,30.8619,64.6703
k19_0.899_0.526_0.437_0.484_c862.mtx,4,128,,30.8619,68.1348
k19_0.899_0.526_0.437_0.484_c862.mtx,4,16,,30.8619,67.9958
k19_0.899_0.526_0.437_0.484_c862.mtx,4,2,,30.8619,58.9666
k19_0.899_0.526_0.437_0.484_c862.mtx,4,256,,30.8619,69.5159
k19_0.899_0.526_0.437_0.484_c862.mtx,4,32,,30.8619,68.9997
k19_0.899_0.526_0.437_0.484_c862.mtx,4,4,,30.8619,69.4003
k19_0.899_0.526_0.437_0.484_c862.mtx,4,512,,30.8619,64.5645
k19_0.899_0.526_0.437_0.484_c862.mtx,4,64,,30.8619,64.1478
k19_0.899_0.526_0.437_0.484_c862.mtx,4,8,,30.8619,61.1691
k19_0.899_0.526_0.437_0.484_c862.mtx,512,128,,30.8619,66.933
k19_0.899_0.526_0.437_0.484_c862.mtx,512,16,,30.8619,66.6907
k19_0.899_0.526_0.437_0.484_c862.mtx,512,2,,30.8619,58.7758
k19_0.899_0.526_0.437_0.484_c862.mtx,512,256,,30.8619,67.1486
k19_0.899_0.526_0.437_0.484_c862.mtx,512,32,,30.8619,66.7554
k19_0.899_0.526_0.437_0.484_c862.mtx,512,4,,30.8619,65.6956
k19_0.899_0.526_0.437_0.484_c862.mtx,512,512,,30.8619,66.7077
k19_0.899_0.526_0.437_0.484_c862.mtx,512,64,,30.8619,56.5327
k19_0.899_0.526_0.437_0.484_c862.mtx,512,8,,30.8619,62.3787
k19_0.899_0.526_0.437_0.484_c862.mtx,524288,128,,30.8619,0.0069385
k19_0.899_0.526_0.437_0.484_c862.mtx,524288,16,,30.8619,0.0068655
k19_0.899_0.526_0.437_0.484_c862.mtx,524288,2,,30.8619,0.006895
k19_0.899_0.526_0.437_0.484_c862.mtx,524288,256,,30.8619,0.0070235
k19_0.899_0.526_0.437_0.484_c862.mtx,524288,32,,30.8619,0.006956
k19_0.899_0.526_0.437_0.484_c862.mtx,524288,4,,30.8619,0.0069635
k19_0.899_0.526_0.437_0.484_c862.mtx,524288,512,,30.8619,0.0069455
k19_0.899_0.526_0.437_0.484_c862.mtx,524288,524288,,30.8619,0.006857
k19_0.899_0.526_0.437_0.484_c862.mtx,524288,64,,30.8619,0.0069165
k19_0.899_0.526_0.437_0.484_c862.mtx,524288,8,,30.8619,0.006836
k19_0.899_0.526_0.437_0.484_c862.mtx,65536,128,,30.8619,47.4259
k19_0.899_0.526_0.437_0.484_c862.mtx,65536,16,,30.8619,44.4458
k19_0.899_0.526_0.437_0.484_c862.mtx,65536,2,,30.8619,38.1396
k19_0.899_0.526_0.437_0.484_c862.mtx,65536,256,,30.8619,41.0743
k19_0.899_0.526_0.437_0.484_c862.mtx,65536,32,,30.8619,47.5709
k19_0.899_0.526_0.437_0.484_c862.mtx,65536,4,,30.8619,46.4545
k19_0.899_0.526_0.437_0.484_c862.mtx,65536,512,,30.8619,47.8513
k19_0.899_0.526_0.437_0.484_c862.mtx,65536,64,,30.8619,47.4887
k19_0.899_0.526_0.437_0.484_c862.mtx,65536,8,,30.8619,47.0928
k19_0.899_0.526_0.437_0.484_c862.mtx,8192,128,,30.8619,59.1606
k19_0.899_0.526_0.437_0.484_c862.mtx,8192,16,,30.8619,60.254
k19_0.899_0.526_0.437_0.484_c862.mtx,8192,2,,30.8619,48.928
k19_0.899_0.526_0.437_0.484_c862.mtx,8192,256,,30.8619,58.5877
k19_0.899_0.526_0.437_0.484_c862.mtx,8192,32,,30.8619,55.1083
k19_0.899_0.526_0.437_0.484_c862.mtx,8192,4,,30.8619,57.7628
k19_0.899_0.526_0.437_0.484_c862.mtx,8192,512,,30.8619,55.2471
k19_0.899_0.526_0.437_0.484_c862.mtx,8192,64,,30.8619,58.3584
k19_0.899_0.526_0.437_0.484_c862.mtx,8192,8,,30.8619,53.9439
k19_0.899_0.526_0.437_0.484_c862.mtx,8,128,,30.8619,59.2607
k19_0.899_0.526_0.437_0.484_c862.mtx,8,16,,30.8619,66.7626
k19_0.899_0.526_0.437_0.484_c862.mtx,8,2,,30.8619,55.238
k19_0.899_0.526_0.437_0.484_c862.mtx,8,256,,30.8619,63.2275
k19_0.899_0.526_0.437_0.484_c862.mtx,8,32,,30.8619,58.675
k19_0.899_0.526_0.437_0.484_c862.mtx,8,4,,30.8619,64.6683
k19_0.899_0.526_0.437_0.484_c862.mtx,8,512,,30.8619,63.9316
k19_0.899_0.526_0.437_0.484_c862.mtx,8,64,,30.8619,64.9241
k19_0.899_0.526_0.437_0.484_c862.mtx,8,8,,30.8619,58.8445
