filename,rows,cols,block_median,noblock_median,tensor_median
k19_0.899_0.537_0.537_0.521_c862.mtx,1024,128,,96.8588,184.156
k19_0.899_0.537_0.537_0.521_c862.mtx,1024,16,,96.8588,181.185
k19_0.899_0.537_0.537_0.521_c862.mtx,1024,2,,96.8588,160.858
k19_0.899_0.537_0.537_0.521_c862.mtx,1024,256,,96.8588,194.843
k19_0.899_0.537_0.537_0.521_c862.mtx,1024,32,,96.8588,174.242
k19_0.899_0.537_0.537_0.521_c862.mtx,1024,4,,96.8588,221.017
k19_0.899_0.537_0.537_0.521_c862.mtx,1024,512,,96.8588,188.959
k19_0.899_0.537_0.537_0.521_c862.mtx,1024,64,,96.8588,183.389
k19_0.899_0.537_0.537_0.521_c862.mtx,1024,8,,96.8588,180.811
k19_0.899_0.537_0.537_0.521_c862.mtx,128,128,,96.8588,189.641
k19_0.899_0.537_0.537_0.521_c862.mtx,128,16,,96.8588,180.67
k19_0.899_0.537_0.537_0.521_c862.mtx,128,2,,96.8588,164.522
k19_0.899_0.537_0.537_0.521_c862.mtx,128,256,,96.8588,196.073
k19_0.899_0.537_0.537_0.521_c862.mtx,128,32,,96.8588,181.728
k19_0.899_0.537_0.537_0.521_c862.mtx,128,4,,96.8588,166.928
k19_0.899_0.537_0.537_0.521_c862.mtx,128,512,,96.8588,200.218
k19_0.899_0.537_0.537_0.521_c862.mtx,128,64,,96.8588,178.622
k19_0.899_0.537_0.537_0.521_c862.mtx,128,8,,96.8588,179.25
k19_0.899_0.537_0.537_0.521_c862.mtx,131072,128,,96.8588,86.2173
k19_0.899_0.537_0.537_0.521_c862.mtx,131072,16,,96.8588,85.3283
k19_0.899_0.537_0.537_0.521_c862.mtx,131072,2,,96.8588,73.8
k19_0.899_0.537_0.537_0.521_c862.mtx,131072,256,,96.8588,89.371
k19_0.899_0.537_0.537_0.521_c862.mtx,131072,32,,96.8588,86.6943
k19_0.899_0.537_0.537_0.521_c862.mtx,131072,4,,96.8588,86.9845
k19_0.899_0.537_0.537_0.521_c862.mtx,131072,512,,96.8588,86.9184
k19_0.899_0.537_0.537_0.521_c862.mtx,131072,64,,96.8588,102.688
k19_0.899_0.537_0.537_0.521_c862.mtx,131072,8,,96.8588,86.1141
k19_0.899_0.537_0.537_0.521_c862.mtx,2048,128,,96.8588,192.393
k19_0.899_0.537_0.537_0.521_c862.mtx,2048,16,,96.8588,175.852
k19_0.899_0.537_0.537_0.521_c862.mtx,2048,2,,96.8588,161.481
k19_0.899_0.537_0.537_0.521_c862.mtx,2048,256,,96.8588,187.578
k19_0.899_0.537_0.537_0.521_c862.mtx,2048,32,,96.8588,169.259
k19_0.899_0.537_0.537_0.521_c862.mtx,2048,4,,96.8588,179.091
k19_0.899_0.537_0.537_0.521_c862.mtx,2048,512,,96.8588,206.002
k19_0.899_0.537_0.537_0.521_c862.mtx,2048,64,,96.8588,168.135
k19_0.899_0.537_0.537_0.521_c862.mtx,2048,8,,96.8588,183.277
k19_0.899_0.537_0.537_0.521_c862.mtx,256,128,,96.8588,197.442
k19_0.899_0.537_0.537_0.521_c862.mtx,256,16,,96.8588,186.846
k19_0.899_0.537_0.537_0.521_c862.mtx,256,2,,96.8588,156.747
k19_0.899_0.537_0.537_0.521_c862.mtx,256,256,,96.8588,197.704
k19_0.899_0.537_0.537_0.521_c862.mtx,256,32,,96.8588,182.536
k19_0.899_0.537_0.537_0.521_c862.mtx,256,4,,96.8588,168.575
k19_0.899_0.537_0.537_0.521_c862.mtx,256,512,,96.8588,187.039
k19_0.899_0.537_0.537_0.521_c862.mtx,256,64,,96.8588,168.108
k19_0.899_0.537_0.537_0.521_c862.mtx,256,8,,96.8588,178.905
k19_0.899_0.537_0.537_0.521_c862.mtx,262144,128,,96.8588,0.088893
k19_0.899_0.537_0.537_0.521_c862.mtx,262144,16,,96.8588,0.086618
k19_0.899_0.537_0.537_0.521_c862.mtx,262144,2,,96.8588,0.097291
k19_0.899_0.537_0.537_0.521_c862.mtx,262144,256,,96.8588,0.0873085
k19_0.899_0.537_0.537_0.521_c862.mtx,262144,32,,96.8588,0.0909745
k19_0.899_0.537_0.537_0.521_c862.mtx,262144,4,,96.8588,0.0885805
k19_0.899_0.537_0.537_0.521_c862.mtx,262144,512,,96.8588,0.091594
k19_0.899_0.537_0.537_0.521_c862.mtx,262144,64,,96.8588,0.0832755
k19_0.899_0.537_0.537_0.521_c862.mtx,262144,8,,96.8588,0.084721
k19_0.899_0.537_0.537_0.521_c862.mtx,2,128,,96.8588,202.371
k19_0.899_0.537_0.537_0.521_c862.mtx,2,16,,96.8588,196.477
k19_0.899_0.537_0.537_0.521_c862.mtx,2,2,,96.8588,175.643
k19_0.899_0.537_0.537_0.521_c862.mtx,2,256,,96.8588,194.176
k19_0.899_0.537_0.537_0.521_c862.mtx,2,32,,96.8588,177.408
k19_0.899_0.537_0.537_0.521_c862.mtx,2,4,,96.8588,180.223
k19_0.899_0.537_0.537_0.521_c862.mtx,2,512,,96.8588,196.88
k19_0.899_0.537_0.537_0.521_c862.mtx,2,64,,96.8588,175.619
k19_0.899_0.537_0.537_0.521_c862.mtx,2,8,,96.8588,179.729
k19_0.899_0.537_0.537_0.521_c862.mtx,32768,128,,96.8588,165.74
k19_0.899_0.537_0.537_0.521_c862.mtx,32768,16,,96.8588,171.829
k19_0.899_0.537_0.537_0.521_c862.mtx,32768,2,,96.8588,140.411
k19_0.899_0.537_0.537_0.521_c862.mtx,32768,256,,96.8588,160.529
k19_0.899_0.537_0.537_0.521_c862.mtx,32768,32,,96.8588,189.527
k19_0.899_0.537_0.537_0.521_c862.mtx,32768,4,,96.8588,149.895
k19_0.899_0.537_0.537_0.521_c862.mtx,32768,512,,96.8588,163.926
k19_0.899_0.537_0.537_0.521_c862.mtx,32768,64,,96.8588,155.219
k19_0.899_0.537_0.537_0.521_c862.mtx,32768,8,,96.8588,156.724
k19_0.899_0.537_0.537_0.521_c862.mtx,4096,128,,96.8588,184.122
k19_0.899_0.537_0.537_0.521_c862.mtx,4096,16,,96.8588,167.66
k19_0.899_0.537_0.537_0.521_c862.mtx,4096,2,,96.8588,166.419
k19_0.899_0.537_0.537_0.521_c862.mtx,4096,256,,96.8588,186.644
k19_0.899_0.537_0.537_0.521_c862.mtx,4096,32,,96.8588,167.7
k19_0.899_0.537_0.537_0.521_c862.mtx,4096,4,,96.8588,165.98
k19_0.899_0.537_0.537_0.521_c862.mtx,4096,512,,96.8588,188.019
k19_0.899_0.537_0.537_0.521_c862.mtx,4096,64,,96.8588,170.579
k19_0.899_0.537_0.537_0.521_c862.mtx,4096,8,,96.8588,172.703
k19_0.899_0.537_0.537_0.521_c862.mtx,4,128,,96.8588,200.29
