filename,rows,cols,block_median,noblock_median,tensor_median
k17_0.899_0.537_0.491_0.484_c862.mtx,1024,128,,4.62254,12.6301
k17_0.899_0.537_0.491_0.484_c862.mtx,1024,16,,4.62254,12.3232
k17_0.899_0.537_0.491_0.484_c862.mtx,1024,2,,4.62254,9.3507
k17_0.899_0.537_0.491_0.484_c862.mtx,1024,256,,4.62254,13.0909
k17_0.899_0.537_0.491_0.484_c862.mtx,1024,32,,4.62254,12.2575
k17_0.899_0.537_0.491_0.484_c862.mtx,1024,4,,4.62254,10.7958
k17_0.899_0.537_0.491_0.484_c862.mtx,1024,64,,4.62254,12.3239
k17_0.899_0.537_0.491_0.484_c862.mtx,1024,8,,4.62254,12.0333
k17_0.899_0.537_0.491_0.484_c862.mtx,128,128,,4.62254,13.1305
k17_0.899_0.537_0.491_0.484_c862.mtx,128,16,,4.62254,12.3035
k17_0.899_0.537_0.491_0.484_c862.mtx,128,2,,4.62254,9.69499
k17_0.899_0.537_0.491_0.484_c862.mtx,128,256,,4.62254,13.5152
k17_0.899_0.537_0.491_0.484_c862.mtx,128,32,,4.62254,12.46
k17_0.899_0.537_0.491_0.484_c862.mtx,128,4,,4.62254,11.103
k17_0.899_0.537_0.491_0.484_c862.mtx,128,64,,4.62254,12.6467
k17_0.899_0.537_0.491_0.484_c862.mtx,128,8,,4.62254,12.2059
k17_0.899_0.537_0.491_0.484_c862.mtx,131072,128,,4.62254,0.006832
k17_0.899_0.537_0.491_0.484_c862.mtx,131072,131072,,4.62254,0.0069095
k17_0.899_0.537_0.491_0.484_c862.mtx,131072,16,,4.62254,0.0068425
k17_0.899_0.537_0.491_0.484_c862.mtx,131072,2,,4.62254,0.006904
k17_0.899_0.537_0.491_0.484_c862.mtx,131072,256,,4.62254,0.006922
k17_0.899_0.537_0.491_0.484_c862.mtx,131072,32,,4.62254,0.0070575
k17_0.899_0.537_0.491_0.484_c862.mtx,131072,4,,4.62254,0.0068505
k17_0.899_0.537_0.491_0.484_c862.mtx,131072,64,,4.62254,0.006968
k17_0.899_0.537_0.491_0.484_c862.mtx,131072,8,,4.62254,0.0068445
k17_0.899_0.537_0.491_0.484_c862.mtx,16384,128,,4.62254,8.79646
k17_0.899_0.537_0.491_0.484_c862.mtx,16384,16,,4.62254,8.49076
k17_0.899_0.537_0.491_0.484_c862.mtx,16384,2,,4.62254,6.93652
k17_0.899_0.537_0.491_0.484_c862.mtx,16384,256,,4.62254,9.15534
k17_0.899_0.537_0.491_0.484_c862.mtx,16384,32,,4.62254,8.45926
k17_0.899_0.537_0.491_0.484_c862.mtx,16384,4,,4.62254,7.68241
k17_0.899_0.537_0.491_0.484_c862.mtx,16384,64,,4.62254,8.7949
k17_0.899_0.537_0.491_0.484_c862.mtx,16384,8,,4.62254,8.42241
k17_0.899_0.537_0.491_0.484_c862.mtx,16,128,,4.62254,12.9723
k17_0.899_0.537_0.491_0.484_c862.mtx,16,16,,4.62254,12.6228
k17_0.899_0.537_0.491_0.484_c862.mtx,16,2,,4.62254,9.78283
k17_0.899_0.537_0.491_0.484_c862.mtx,16,256,,4.62254,13.4464
k17_0.899_0.537_0.491_0.484_c862.mtx,16,32,,4.62254,12.4442
k17_0.899_0.537_0.491_0.484_c862.mtx,16,4,,4.62254,11.2318
k17_0.899_0.537_0.491_0.484_c862.mtx,16,64,,4.62254,12.8354
k17_0.899_0.537_0.491_0.484_c862.mtx,16,8,,4.62254,12.2943
k17_0.899_0.537_0.491_0.484_c862.mtx,2048,128,,4.62254,12.4025
k17_0.899_0.537_0.491_0.484_c862.mtx,2048,16,,4.62254,11.908
k17_0.899_0.537_0.491_0.484_c862.mtx,2048,2,,4.62254,9.19988
k17_0.899_0.537_0.491_0.484_c862.mtx,2048,256,,4.62254,12.8887
k17_0.899_0.537_0.491_0.484_c862.mtx,2048,32,,4.62254,11.8365
k17_0.899_0.537_0.491_0.484_c862.mtx,2048,4,,4.62254,10.5832
k17_0.899_0.537_0.491_0.484_c862.mtx,2048,64,,4.62254,12.1115
k17_0.899_0.537_0.491_0.484_c862.mtx,2048,8,,4.62254,11.6435
k17_0.899_0.537_0.491_0.484_c862.mtx,256,128,,4.62254,12.8642
k17_0.899_0.537_0.491_0.484_c862.mtx,256,16,,4.62254,12.4763
k17_0.899_0.537_0.491_0.484_c862.mtx,256,2,,4.62254,9.59651
k17_0.899_0.537_0.491_0.484_c862.mtx,256,256,,4.62254,13.4483
k17_0.899_0.537_0.491_0.484_c862.mtx,256,32,,4.62254,12.4396
k17_0.899_0.537_0.491_0.484_c862.mtx,256,4,,4.62254,11.0882
k17_0.899_0.537_0.491_0.484_c862.mtx,256,64,,4.62254,12.5989
k17_0.899_0.537_0.491_0.484_c862.mtx,256,8,,4.62254,12.0866
k17_0.899_0.537_0.491_0.484_c862.mtx,2,128,,4.62254,13.4149
k17_0.899_0.537_0.491_0.484_c862.mtx,2,16,,4.62254,12.7919
k17_0.899_0.537_0.491_0.484_c862.mtx,2,2,,4.62254,10.1111
k17_0.899_0.537_0.491_0.484_c862.mtx,2,256,,4.62254,13.9785
k17_0.899_0.537_0.491_0.484_c862.mtx,2,32,,4.62254,12.6229
k17_0.899_0.537_0.491_0.484_c862.mtx,2,4,,4.62254,11.5044
k17_0.899_0.537_0.491_0.484_c862.mtx,2,64,,4.62254,13.1332
k17_0.899_0.537_0.491_0.484_c862.mtx,2,8,,4.62254,12.6726
k17_0.899_0.537_0.491_0.484_c862.mtx,32768,128,,4.62254,5.7265
k17_0.899_0.537_0.491_0.484_c862.mtx,32768,16,,4.62254,5.60702
k17_0.899_0.537_0.491_0.484_c862.mtx,32768,2,,4.62254,4.61938
k17_0.899_0.537_0.491_0.484_c862.mtx,32768,256,,4.62254,5.93658
k17_0.899_0.537_0.491_0.484_c862.mtx,32768,32,,4.62254,5.53128
k17_0.899_0.537_0.491_0.484_c862.mtx,32768,4,,4.62254,5.08578
k17_0.899_0.537_0.491_0.484_c862.mtx,32768,64,,4.62254,5.55594
k17_0.899_0.537_0.491_0.484_c862.mtx,32768,8,,4.62254,5.30292
k17_0.899_0.537_0.491_0.484_c862.mtx,32,128,,4.62254,13.2973
k17_0.899_0.537_0.491_0.484_c862.mtx,32,16,,4.62254,12.486
k17_0.899_0.537_0.491_0.484_c862.mtx,32,2,,4.62254,9.76126
k17_0.899_0.537_0.491_0.484_c862.mtx,32,256,,4.62254,13.747
k17_0.899_0.537_0.491_0.484_c862.mtx,32,32,,4.62254,12.4458
k17_0.899_0.537_0.491_0.484_c862.mtx,32,4,,4.62254,11.1757
k17_0.899_0.537_0.491_0.484_c862.mtx,32,64,,4.62254,12.7295
k17_0.899_0.537_0.491_0.484_c862.mtx,32,8,,4.62254,12.2793
k17_0.899_0.537_0.491_0.484_c862.mtx,4096,128,,4.62254,11.8409
k17_0.899_0.537_0.491_0.484_c862.mtx,4096,16,,4.62254,11.2941
k17_0.899_0.537_0.491_0.484_c862.mtx,4096,2,,4.62254,8.87888
k17_0.899_0.537_0.491_0.484_c862.mtx,4096,256,,4.62254,12.2539
k17_0.899_0.537_0.491_0.484_c862.mtx,4096,32,,4.62254,11.4526
k17_0.899_0.537_0.491_0.484_c862.mtx,4096,4,,4.62254,10.2139
k17_0.899_0.537_0.491_0.484_c862.mtx,4096,64,,4.62254,11.5278
k17_0.899_0.537_0.491_0.484_c862.mtx,4096,8,,4.62254,11.23
k17_0.899_0.537_0.491_0.484_c862.mtx,4,128,,4.62254,13.2452
k17_0.899_0.537_0.491_0.484_c862.mtx,4,16,,4.62254,12.898
k17_0.899_0.537_0.491_0.484_c862.mtx,4,2,,4.62254,10.7259
