filename,rows,cols,block_median,noblock_median,tensor_median
k16_0.899_0.537_0.537_0.558_c862.mtx,1024,128,,3.47604,10.0252
k16_0.899_0.537_0.537_0.558_c862.mtx,1024,16,,3.47604,7.9749
k16_0.899_0.537_0.537_0.558_c862.mtx,1024,2,,3.47604,7.3618
k16_0.899_0.537_0.537_0.558_c862.mtx,1024,256,,3.47604,11.3
k16_0.899_0.537_0.537_0.558_c862.mtx,1024,32,,3.47604,8.86667
k16_0.899_0.537_0.537_0.558_c862.mtx,1024,4,,3.47604,7.47522
k16_0.899_0.537_0.537_0.558_c862.mtx,1024,64,,3.47604,9.36301
k16_0.899_0.537_0.537_0.558_c862.mtx,1024,8,,3.47604,7.97665
k16_0.899_0.537_0.537_0.558_c862.mtx,128,128,,3.47604,10.4195
k16_0.899_0.537_0.537_0.558_c862.mtx,128,16,,3.47604,8.35625
k16_0.899_0.537_0.537_0.558_c862.mtx,128,2,,3.47604,7.61777
k16_0.899_0.537_0.537_0.558_c862.mtx,128,256,,3.47604,11.7695
k16_0.899_0.537_0.537_0.558_c862.mtx,128,32,,3.47604,9.22007
k16_0.899_0.537_0.537_0.558_c862.mtx,128,4,,3.47604,7.75792
k16_0.899_0.537_0.537_0.558_c862.mtx,128,64,,3.47604,9.64141
k16_0.899_0.537_0.537_0.558_c862.mtx,128,8,,3.47604,8.27627
k16_0.899_0.537_0.537_0.558_c862.mtx,16384,128,,3.47604,4.82608
k16_0.899_0.537_0.537_0.558_c862.mtx,16384,16,,3.47604,4.07948
k16_0.899_0.537_0.537_0.558_c862.mtx,16384,2,,3.47604,3.71814
k16_0.899_0.537_0.537_0.558_c862.mtx,16384,256,,3.47604,5.52474
k16_0.899_0.537_0.537_0.558_c862.mtx,16384,32,,3.47604,4.20609
k16_0.899_0.537_0.537_0.558_c862.mtx,16384,4,,3.47604,3.79187
k16_0.899_0.537_0.537_0.558_c862.mtx,16384,64,,3.47604,4.42436
k16_0.899_0.537_0.537_0.558_c862.mtx,16384,8,,3.47604,3.99401
k16_0.899_0.537_0.537_0.558_c862.mtx,16,128,,3.47604,10.0062
k16_0.899_0.537_0.537_0.558_c862.mtx,16,16,,3.47604,8.58567
k16_0.899_0.537_0.537_0.558_c862.mtx,16,2,,3.47604,7.69484
k16_0.899_0.537_0.537_0.558_c862.mtx,16,256,,3.47604,11.5574
k16_0.899_0.537_0.537_0.558_c862.mtx,16,32,,3.47604,8.72286
k16_0.899_0.537_0.537_0.558_c862.mtx,16,4,,3.47604,7.89737
k16_0.899_0.537_0.537_0.558_c862.mtx,16,64,,3.47604,9.2135
k16_0.899_0.537_0.537_0.558_c862.mtx,16,8,,3.47604,8.35214
k16_0.899_0.537_0.537_0.558_c862.mtx,2048,128,,3.47604,9.61737
k16_0.899_0.537_0.537_0.558_c862.mtx,2048,16,,3.47604,7.73661
k16_0.899_0.537_0.537_0.558_c862.mtx,2048,2,,3.47604,7.0513
k16_0.899_0.537_0.537_0.558_c862.mtx,2048,256,,3.47604,10.8653
k16_0.899_0.537_0.537_0.558_c862.mtx,2048,32,,3.47604,8.54857
k16_0.899_0.537_0.537_0.558_c862.mtx,2048,4,,3.47604,7.19058
k16_0.899_0.537_0.537_0.558_c862.mtx,2048,64,,3.47604,8.94941
k16_0.899_0.537_0.537_0.558_c862.mtx,2048,8,,3.47604,7.614
k16_0.899_0.537_0.537_0.558_c862.mtx,256,128,,3.47604,10.3548
k16_0.899_0.537_0.537_0.558_c862.mtx,256,16,,3.47604,8.29328
k16_0.899_0.537_0.537_0.558_c862.mtx,256,2,,3.47604,7.55965
k16_0.899_0.537_0.537_0.558_c862.mtx,256,256,,3.47604,11.6563
k16_0.899_0.537_0.537_0.558_c862.mtx,256,32,,3.47604,9.1448
k16_0.899_0.537_0.537_0.558_c862.mtx,256,4,,3.47604,7.7287
k16_0.899_0.537_0.537_0.558_c862.mtx,256,64,,3.47604,9.53763
k16_0.899_0.537_0.537_0.558_c862.mtx,256,8,,3.47604,8.21631
k16_0.899_0.537_0.537_0.558_c862.mtx,2,128,,3.47604,10.841
k16_0.899_0.537_0.537_0.558_c862.mtx,2,16,,3.47604,8.75158
k16_0.899_0.537_0.537_0.558_c862.mtx,2,2,,3.47604,7.90937
k16_0.899_0.537_0.537_0.558_c862.mtx,2,256,,3.47604,12.2981
k16_0.899_0.537_0.537_0.558_c862.mtx,2,32,,3.47604,9.25114
k16_0.899_0.537_0.537_0.558_c862.mtx,2,4,,3.47604,8.08849
k16_0.899_0.537_0.537_0.558_c862.mtx,2,64,,3.47604,9.79135
k16_0.899_0.537_0.537_0.558_c862.mtx,2,8,,3.47604,8.59968
k16_0.899_0.537_0.537_0.558_c862.mtx,32768,128,,3.47604,0.0119915
k16_0.899_0.537_0.537_0.558_c862.mtx,32768,16,,3.47604,0.012093
k16_0.899_0.537_0.537_0.558_c862.mtx,32768,2,,3.47604,0.012148
k16_0.899_0.537_0.537_0.558_c862.mtx,32768,256,,3.47604,0.0120155
k16_0.899_0.537_0.537_0.558_c862.mtx,32768,32,,3.47604,0.0119345
k16_0.899_0.537_0.537_0.558_c862.mtx,32768,4,,3.47604,0.012087
k16_0.899_0.537_0.537_0.558_c862.mtx,32768,64,,3.47604,0.0120125
k16_0.899_0.537_0.537_0.558_c862.mtx,32768,65536,,3.47604,0.011989
k16_0.899_0.537_0.537_0.558_c862.mtx,32768,8,,3.47604,0.012069
k16_0.899_0.537_0.537_0.558_c862.mtx,32,128,,3.47604,10.5157
k16_0.899_0.537_0.537_0.558_c862.mtx,32,16,,3.47604,8.41555
k16_0.899_0.537_0.537_0.558_c862.mtx,32,2,,3.47604,7.68716
k16_0.899_0.537_0.537_0.558_c862.mtx,32,256,,3.47604,11.8738
k16_0.899_0.537_0.537_0.558_c862.mtx,32,32,,3.47604,9.27586
k16_0.899_0.537_0.537_0.558_c862.mtx,32,4,,3.47604,7.84105
k16_0.899_0.537_0.537_0.558_c862.mtx,32,64,,3.47604,9.72741
k16_0.899_0.537_0.537_0.558_c862.mtx,32,8,,3.47604,8.33238
k16_0.899_0.537_0.537_0.558_c862.mtx,4096,128,,3.47604,8.94212
k16_0.899_0.537_0.537_0.558_c862.mtx,4096,16,,3.47604,7.18603
k16_0.899_0.537_0.537_0.558_c862.mtx,4096,2,,3.47604,6.53619
k16_0.899_0.537_0.537_0.558_c862.mtx,4096,256,,3.47604,10.0719
k16_0.899_0.537_0.537_0.558_c862.mtx,4096,32,,3.47604,7.91642
k16_0.899_0.537_0.537_0.558_c862.mtx,4096,4,,3.47604,6.65866
k16_0.899_0.537_0.537_0.558_c862.mtx,4096,64,,3.47604,8.28629
k16_0.899_0.537_0.537_0.558_c862.mtx,4096,8,,3.47604,7.1021
k16_0.899_0.537_0.537_0.558_c862.mtx,4,128,,3.47604,10.3614
k16_0.899_0.537_0.537_0.558_c862.mtx,4,16,,3.47604,8.99943
k16_0.899_0.537_0.537_0.558_c862.mtx,4,2,,3.47604,8.51309
k16_0.899_0.537_0.537_0.558_c862.mtx,4,256,,3.47604,11.8836
k16_0.899_0.537_0.537_0.558_c862.mtx,4,32,,3.47604,8.97851
k16_0.899_0.537_0.537_0.558_c862.mtx,4,4,,3.47604,8.41624
k16_0.899_0.537_0.537_0.558_c862.mtx,4,64,,3.47604,9.48355
k16_0.899_0.537_0.537_0.558_c862.mtx,4,8,,3.47604,8.88539
k16_0.899_0.537_0.537_0.558_c862.mtx,512,128,,3.47604,10.2311
k16_0.899_0.537_0.537_0.558_c862.mtx,512,16,,3.47604,8.21282
k16_0.899_0.537_0.537_0.558_c862.mtx,512,2,,3.47604,7.47779
k16_0.899_0.537_0.537_0.558_c862.mtx,512,256,,3.47604,11.5428
k16_0.899_0.537_0.537_0.558_c862.mtx,512,32,,3.47604,9.05281
k16_0.899_0.537_0.537_0.558_c862.mtx,512,4,,3.47604,7.61421
k16_0.899_0.537_0.537_0.558_c862.mtx,512,64,,3.47604,9.48102
k16_0.899_0.537_0.537_0.558_c862.mtx,512,8,,3.47604,8.12888
k16_0.899_0.537_0.537_0.558_c862.mtx,64,128,,3.47604,10.4778
k16_0.899_0.537_0.537_0.558_c862.mtx,64,16,,3.47604,8.38979
k16_0.899_0.537_0.537_0.558_c862.mtx,64,2,,3.47604,7.64272
k16_0.899_0.537_0.537_0.558_c862.mtx,64,256,,3.47604,11.8191
k16_0.899_0.537_0.537_0.558_c862.mtx,64,32,,3.47604,9.23758
k16_0.899_0.537_0.537_0.558_c862.mtx,64,4,,3.47604,7.82291
k16_0.899_0.537_0.537_0.558_c862.mtx,64,64,,3.47604,9.68373
k16_0.899_0.537_0.537_0.558_c862.mtx,64,8,,3.47604,8.30289
k16_0.899_0.537_0.537_0.558_c862.mtx,65536,128,,3.47604,0.007047
k16_0.899_0.537_0.537_0.558_c862.mtx,65536,16,,3.47604,0.007095
k16_0.899_0.537_0.537_0.558_c862.mtx,65536,2,,3.47604,0.0070145
k16_0.899_0.537_0.537_0.558_c862.mtx,65536,256,,3.47604,0.0069275
k16_0.899_0.537_0.537_0.558_c862.mtx,65536,32,,3.47604,0.0071405
k16_0.899_0.537_0.537_0.558_c862.mtx,65536,4,,3.47604,0.0071305
k16_0.899_0.537_0.537_0.558_c862.mtx,65536,64,,3.47604,0.0069915
k16_0.899_0.537_0.537_0.558_c862.mtx,65536,65536,,3.47604,0.007001
k16_0.899_0.537_0.537_0.558_c862.mtx,65536,8,,3.47604,0.0069265
k16_0.899_0.537_0.537_0.558_c862.mtx,8192,128,,3.47604,7.54698
k16_0.899_0.537_0.537_0.558_c862.mtx,8192,16,,3.47604,6.13201
k16_0.899_0.537_0.537_0.558_c862.mtx,8192,2,,3.47604,5.57336
k16_0.899_0.537_0.537_0.558_c862.mtx,8192,256,,3.47604,8.51086
k16_0.899_0.537_0.537_0.558_c862.mtx,8192,32,,3.47604,6.72112
k16_0.899_0.537_0.537_0.558_c862.mtx,8192,4,,3.47604,5.66263
k16_0.899_0.537_0.537_0.558_c862.mtx,8192,64,,3.47604,7.01887
k16_0.899_0.537_0.537_0.558_c862.mtx,8192,8,,3.47604,6.05756
k16_0.899_0.537_0.537_0.558_c862.mtx,8,128,,3.47604,10.8139
k16_0.899_0.537_0.537_0.558_c862.mtx,8,16,,3.47604,8.54251
k16_0.899_0.537_0.537_0.558_c862.mtx,8,2,,3.47604,7.77473
k16_0.899_0.537_0.537_0.558_c862.mtx,8,256,,3.47604,12.3542
k16_0.899_0.537_0.537_0.558_c862.mtx,8,32,,3.47604,9.49095
k16_0.899_0.537_0.537_0.558_c862.mtx,8,4,,3.47604,8.15768
k16_0.899_0.537_0.537_0.558_c862.mtx,8,64,,3.47604,9.97456
k16_0.899_0.537_0.537_0.558_c862.mtx,8,8,,3.47604,8.46258
