filename,rows,cols,block_median,noblock_median,tensor_median
k17_0.899_0.513_0.437_0.484_c862.mtx,1024,128,,3.03872,6.96294
k17_0.899_0.513_0.437_0.484_c862.mtx,1024,16,,3.03872,6.61717
k17_0.899_0.513_0.437_0.484_c862.mtx,1024,2,,3.03872,5.89364
k17_0.899_0.513_0.437_0.484_c862.mtx,1024,256,,3.03872,7.16412
k17_0.899_0.513_0.437_0.484_c862.mtx,1024,32,,3.03872,6.70199
k17_0.899_0.513_0.437_0.484_c862.mtx,1024,4,,3.03872,6.15301
k17_0.899_0.513_0.437_0.484_c862.mtx,1024,64,,3.03872,6.93034
k17_0.899_0.513_0.437_0.484_c862.mtx,1024,8,,3.03872,6.69467
k17_0.899_0.513_0.437_0.484_c862.mtx,128,128,,3.03872,7.2457
k17_0.899_0.513_0.437_0.484_c862.mtx,128,16,,3.03872,6.79417
k17_0.899_0.513_0.437_0.484_c862.mtx,128,2,,3.03872,6.08933
k17_0.899_0.513_0.437_0.484_c862.mtx,128,256,,3.03872,7.32627
k17_0.899_0.513_0.437_0.484_c862.mtx,128,32,,3.03872,7.02292
k17_0.899_0.513_0.437_0.484_c862.mtx,128,4,,3.03872,6.46751
k17_0.899_0.513_0.437_0.484_c862.mtx,128,64,,3.03872,7.10497
k17_0.899_0.513_0.437_0.484_c862.mtx,128,8,,3.03872,6.87742
k17_0.899_0.513_0.437_0.484_c862.mtx,2048,128,,3.03872,6.86439
k17_0.899_0.513_0.437_0.484_c862.mtx,2048,2,,3.03872,5.77131
k17_0.899_0.513_0.437_0.484_c862.mtx,2048,32,,3.03872,6.54965
k17_0.899_0.513_0.437_0.484_c862.mtx,2048,4,,3.03872,6.01425
k17_0.899_0.513_0.437_0.484_c862.mtx,2048,64,,3.03872,6.6389
k17_0.899_0.513_0.437_0.484_c862.mtx,256,128,,3.03872,7.05233
k17_0.899_0.513_0.437_0.484_c862.mtx,256,16,,3.03872,6.94495
k17_0.899_0.513_0.437_0.484_c862.mtx,256,2,,3.03872,6.0563
k17_0.899_0.513_0.437_0.484_c862.mtx,256,256,,3.03872,7.27812
k17_0.899_0.513_0.437_0.484_c862.mtx,256,32,,3.03872,6.75272
k17_0.899_0.513_0.437_0.484_c862.mtx,256,4,,3.03872,6.42217
k17_0.899_0.513_0.437_0.484_c862.mtx,256,64,,3.03872,7.07222
k17_0.899_0.513_0.437_0.484_c862.mtx,256,8,,3.03872,6.66386
k17_0.899_0.513_0.437_0.484_c862.mtx,2,128,,3.03872,7.58036
k17_0.899_0.513_0.437_0.484_c862.mtx,2,16,,3.03872,7.18943
k17_0.899_0.513_0.437_0.484_c862.mtx,2,2,,3.03872,6.47848
k17_0.899_0.513_0.437_0.484_c862.mtx,2,256,,3.03872,7.71601
k17_0.899_0.513_0.437_0.484_c862.mtx,2,32,,3.03872,7.29724
k17_0.899_0.513_0.437_0.484_c862.mtx,2,4,,3.03872,6.79692
k17_0.899_0.513_0.437_0.484_c862.mtx,2,64,,3.03872,7.348
k17_0.899_0.513_0.437_0.484_c862.mtx,2,8,,3.03872,7.11318
k17_0.899_0.513_0.437_0.484_c862.mtx,32,128,,3.03872,7.29336
k17_0.899_0.513_0.437_0.484_c862.mtx,32,16,,3.03872,7.06087
k17_0.899_0.513_0.437_0.484_c862.mtx,32,2,,3.03872,6.11716
k17_0.899_0.513_0.437_0.484_c862.mtx,32,256,,3.03872,7.51911
k17_0.899_0.513_0.437_0.484_c862.mtx,32,32,,3.03872,6.955
k17_0.899_0.513_0.437_0.484_c862.mtx,32,4,,3.03872,6.40916
k17_0.899_0.513_0.437_0.484_c862.mtx,32,64,,3.03872,7.18483
k17_0.899_0.513_0.437_0.484_c862.mtx,32,8,,3.03872,6.78902
k17_0.899_0.513_0.437_0.484_c862.mtx,4,128,,3.03872,7.25499
k17_0.899_0.513_0.437_0.484_c862.mtx,4,16,,3.03872,7.31343
k17_0.899_0.513_0.437_0.484_c862.mtx,4,2,,3.03872,6.74747
k17_0.899_0.513_0.437_0.484_c862.mtx,4,256,,3.03872,7.57563
k17_0.899_0.513_0.437_0.484_c862.mtx,4,32,,3.03872,7.07071
