filename,rows,cols,block_median,noblock_median,tensor_median
k18_0.899_0.464_0.437_0.484_c862.mtx,1024,128,,5.95465,16.4462
k18_0.899_0.464_0.437_0.484_c862.mtx,1024,16,,5.95465,13.5714
k18_0.899_0.464_0.437_0.484_c862.mtx,1024,2,,5.95465,12.0996
k18_0.899_0.464_0.437_0.484_c862.mtx,1024,256,,5.95465,14.1328
k18_0.899_0.464_0.437_0.484_c862.mtx,1024,32,,5.95465,13.8528
k18_0.899_0.464_0.437_0.484_c862.mtx,1024,4,,5.95465,12.9682
k18_0.899_0.464_0.437_0.484_c862.mtx,1024,512,,5.95465,14.4003
k18_0.899_0.464_0.437_0.484_c862.mtx,1024,64,,5.95465,16.0398
k18_0.899_0.464_0.437_0.484_c862.mtx,1024,8,,5.95465,15.568
k18_0.899_0.464_0.437_0.484_c862.mtx,128,128,,5.95465,14.4351
k18_0.899_0.464_0.437_0.484_c862.mtx,128,16,,5.95465,14.3207
k18_0.899_0.464_0.437_0.484_c862.mtx,128,2,,5.95465,12.2787
k18_0.899_0.464_0.437_0.484_c862.mtx,128,256,,5.95465,16.8456
k18_0.899_0.464_0.437_0.484_c862.mtx,128,32,,5.95465,16.4869
k18_0.899_0.464_0.437_0.484_c862.mtx,128,4,,5.95465,15.4701
k18_0.899_0.464_0.437_0.484_c862.mtx,128,512,,5.95465,14.8258
k18_0.899_0.464_0.437_0.484_c862.mtx,128,64,,5.95465,16.9558
k18_0.899_0.464_0.437_0.484_c862.mtx,128,8,,5.95465,16.3125
k18_0.899_0.464_0.437_0.484_c862.mtx,131072,128,,5.95465,0.029153
k18_0.899_0.464_0.437_0.484_c862.mtx,131072,16,,5.95465,0.0280015
k18_0.899_0.464_0.437_0.484_c862.mtx,131072,2,,5.95465,0.027728
k18_0.899_0.464_0.437_0.484_c862.mtx,131072,256,,5.95465,0.028491
k18_0.899_0.464_0.437_0.484_c862.mtx,131072,262144,,5.95465,0.030014
k18_0.899_0.464_0.437_0.484_c862.mtx,131072,32,,5.95465,0.028464
k18_0.899_0.464_0.437_0.484_c862.mtx,131072,4,,5.95465,0.028105
k18_0.899_0.464_0.437_0.484_c862.mtx,131072,512,,5.95465,0.0291255
k18_0.899_0.464_0.437_0.484_c862.mtx,131072,64,,5.95465,0.0291945
k18_0.899_0.464_0.437_0.484_c862.mtx,131072,8,,5.95465,0.028261
k18_0.899_0.464_0.437_0.484_c862.mtx,16384,128,,5.95465,12.76
