filename,rows,cols,block_median,noblock_median,tensor_median
k17_0.899_0.509_0.437_0.484_c862.mtx,1024,128,,2.97625,6.69624
k17_0.899_0.509_0.437_0.484_c862.mtx,1024,16,,2.97625,6.62192
k17_0.899_0.509_0.437_0.484_c862.mtx,1024,2,,2.97625,5.83431
k17_0.899_0.509_0.437_0.484_c862.mtx,1024,256,,2.97625,7.03816
k17_0.899_0.509_0.437_0.484_c862.mtx,1024,32,,2.97625,6.67773
k17_0.899_0.509_0.437_0.484_c862.mtx,1024,4,,2.97625,6.15667
k17_0.899_0.509_0.437_0.484_c862.mtx,1024,64,,2.97625,6.73999
k17_0.899_0.509_0.437_0.484_c862.mtx,1024,8,,2.97625,6.54401
k17_0.899_0.509_0.437_0.484_c862.mtx,128,128,,2.97625,7.04071
k17_0.899_0.509_0.437_0.484_c862.mtx,128,16,,2.97625,6.80493
k17_0.899_0.509_0.437_0.484_c862.mtx,128,2,,2.97625,5.91248
k17_0.899_0.509_0.437_0.484_c862.mtx,128,256,,2.97625,7.24639
k17_0.899_0.509_0.437_0.484_c862.mtx,128,32,,2.97625,6.85753
k17_0.899_0.509_0.437_0.484_c862.mtx,128,4,,2.97625,6.31257
k17_0.899_0.509_0.437_0.484_c862.mtx,128,64,,2.97625,6.75104
k17_0.899_0.509_0.437_0.484_c862.mtx,128,8,,2.97625,6.7087
k17_0.899_0.509_0.437_0.484_c862.mtx,131072,128,,2.97625,0.0069625
k17_0.899_0.509_0.437_0.484_c862.mtx,131072,131072,,2.97625,0.006896
k17_0.899_0.509_0.437_0.484_c862.mtx,131072,16,,2.97625,0.0114845
k17_0.899_0.509_0.437_0.484_c862.mtx,131072,2,,2.97625,0.0068735
k17_0.899_0.509_0.437_0.484_c862.mtx,131072,256,,2.97625,0.006927
k17_0.899_0.509_0.437_0.484_c862.mtx,131072,32,,2.97625,0.006883
k17_0.899_0.509_0.437_0.484_c862.mtx,131072,4,,2.97625,0.0067895
k17_0.899_0.509_0.437_0.484_c862.mtx,131072,64,,2.97625,0.0069385
k17_0.899_0.509_0.437_0.484_c862.mtx,131072,8,,2.97625,0.0069795
k17_0.899_0.509_0.437_0.484_c862.mtx,16384,128,,2.97625,5.01123
k17_0.899_0.509_0.437_0.484_c862.mtx,16384,16,,2.97625,4.76401
k17_0.899_0.509_0.437_0.484_c862.mtx,16384,2,,2.97625,4.32284
k17_0.899_0.509_0.437_0.484_c862.mtx,16384,256,,2.97625,5.14088
k17_0.899_0.509_0.437_0.484_c862.mtx,16384,32,,2.97625,4.90774
k17_0.899_0.509_0.437_0.484_c862.mtx,16384,4,,2.97625,4.57985
k17_0.899_0.509_0.437_0.484_c862.mtx,16384,64,,2.97625,4.94308
k17_0.899_0.509_0.437_0.484_c862.mtx,16384,8,,2.97625,4.70143
k17_0.899_0.509_0.437_0.484_c862.mtx,16,128,,2.97625,7.02782
k17_0.899_0.509_0.437_0.484_c862.mtx,16,16,,2.97625,6.93899
k17_0.899_0.509_0.437_0.484_c862.mtx,16,2,,2.97625,6.08466
k17_0.899_0.509_0.437_0.484_c862.mtx,16,256,,2.97625,7.02651
k17_0.899_0.509_0.437_0.484_c862.mtx,16,32,,2.97625,6.84108
k17_0.899_0.509_0.437_0.484_c862.mtx,16,4,,2.97625,6.3079
k17_0.899_0.509_0.437_0.484_c862.mtx,16,64,,2.97625,6.9037
k17_0.899_0.509_0.437_0.484_c862.mtx,16,8,,2.97625,6.63345
k17_0.899_0.509_0.437_0.484_c862.mtx,2048,128,,2.97625,6.69458
k17_0.899_0.509_0.437_0.484_c862.mtx,2048,16,,2.97625,6.25165
k17_0.899_0.509_0.437_0.484_c862.mtx,2048,2,,2.97625,5.70827
k17_0.899_0.509_0.437_0.484_c862.mtx,2048,256,,2.97625,6.88099
k17_0.899_0.509_0.437_0.484_c862.mtx,2048,32,,2.97625,6.35914
k17_0.899_0.509_0.437_0.484_c862.mtx,2048,4,,2.97625,5.85283
k17_0.899_0.509_0.437_0.484_c862.mtx,2048,64,,2.97625,6.58949
k17_0.899_0.509_0.437_0.484_c862.mtx,2048,8,,2.97625,6.19049
k17_0.899_0.509_0.437_0.484_c862.mtx,256,128,,2.97625,6.83999
k17_0.899_0.509_0.437_0.484_c862.mtx,256,16,,2.97625,6.52751
k17_0.899_0.509_0.437_0.484_c862.mtx,256,2,,2.97625,5.94323
k17_0.899_0.509_0.437_0.484_c862.mtx,256,256,,2.97625,7.06614
k17_0.899_0.509_0.437_0.484_c862.mtx,256,32,,2.97625,6.81725
k17_0.899_0.509_0.437_0.484_c862.mtx,256,4,,2.97625,6.1055
k17_0.899_0.509_0.437_0.484_c862.mtx,256,64,,2.97625,6.88952
k17_0.899_0.509_0.437_0.484_c862.mtx,256,8,,2.97625,6.6804
k17_0.899_0.509_0.437_0.484_c862.mtx,2,128,,2.97625,7.29652
k17_0.899_0.509_0.437_0.484_c862.mtx,2,16,,2.97625,6.97185
k17_0.899_0.509_0.437_0.484_c862.mtx,2,2,,2.97625,6.39743
k17_0.899_0.509_0.437_0.484_c862.mtx,2,256,,2.97625,7.64709
k17_0.899_0.509_0.437_0.484_c862.mtx,2,32,,2.97625,7.12301
k17_0.899_0.509_0.437_0.484_c862.mtx,2,4,,2.97625,6.68909
k17_0.899_0.509_0.437_0.484_c862.mtx,2,64,,2.97625,7.25897
k17_0.899_0.509_0.437_0.484_c862.mtx,2,8,,2.97625,7.09745
k17_0.899_0.509_0.437_0.484_c862.mtx,32768,128,,2.97625,3.29576
k17_0.899_0.509_0.437_0.484_c862.mtx,32768,16,,2.97625,3.2896
k17_0.899_0.509_0.437_0.484_c862.mtx,32768,2,,2.97625,2.8513
k17_0.899_0.509_0.437_0.484_c862.mtx,32768,256,,2.97625,3.36985
k17_0.899_0.509_0.437_0.484_c862.mtx,32768,32,,2.97625,3.09623
k17_0.899_0.509_0.437_0.484_c862.mtx,32768,4,,2.97625,2.98563
k17_0.899_0.509_0.437_0.484_c862.mtx,32768,64,,2.97625,3.24824
k17_0.899_0.509_0.437_0.484_c862.mtx,32768,8,,2.97625,3.24134
k17_0.899_0.509_0.437_0.484_c862.mtx,32,128,,2.97625,7.11827
k17_0.899_0.509_0.437_0.484_c862.mtx,32,16,,2.97625,6.88739
k17_0.899_0.509_0.437_0.484_c862.mtx,32,2,,2.97625,6.05222
k17_0.899_0.509_0.437_0.484_c862.mtx,32,256,,2.97625,7.19078
k17_0.899_0.509_0.437_0.484_c862.mtx,32,32,,2.97625,6.92448
k17_0.899_0.509_0.437_0.484_c862.mtx,32,4,,2.97625,6.21852
k17_0.899_0.509_0.437_0.484_c862.mtx,32,64,,2.97625,6.81413
k17_0.899_0.509_0.437_0.484_c862.mtx,32,8,,2.97625,6.79092
k17_0.899_0.509_0.437_0.484_c862.mtx,4096,128,,2.97625,6.43422
k17_0.899_0.509_0.437_0.484_c862.mtx,4096,16,,2.97625,6.22207
k17_0.899_0.509_0.437_0.484_c862.mtx,4096,2,,2.97625,5.48473
k17_0.899_0.509_0.437_0.484_c862.mtx,4096,256,,2.97625,6.48231
k17_0.899_0.509_0.437_0.484_c862.mtx,4096,32,,2.97625,6.2737
k17_0.899_0.509_0.437_0.484_c862.mtx,4096,4,,2.97625,5.79209
k17_0.899_0.509_0.437_0.484_c862.mtx,4096,64,,2.97625,6.33198
k17_0.899_0.509_0.437_0.484_c862.mtx,4096,8,,2.97625,6.15312
k17_0.899_0.509_0.437_0.484_c862.mtx,4,128,,2.97625,7.32131
k17_0.899_0.509_0.437_0.484_c862.mtx,4,16,,2.97625,7.27623
k17_0.899_0.509_0.437_0.484_c862.mtx,4,2,,2.97625,6.56152
k17_0.899_0.509_0.437_0.484_c862.mtx,4,256,,2.97625,7.3338
k17_0.899_0.509_0.437_0.484_c862.mtx,4,32,,2.97625,7.05842
k17_0.899_0.509_0.437_0.484_c862.mtx,4,4,,2.97625,6.84757
k17_0.899_0.509_0.437_0.484_c862.mtx,4,64,,2.97625,7.13992
k17_0.899_0.509_0.437_0.484_c862.mtx,4,8,,2.97625,7.20464
k17_0.899_0.509_0.437_0.484_c862.mtx,512,128,,2.97625,6.78652
k17_0.899_0.509_0.437_0.484_c862.mtx,512,16,,2.97625,6.71205
k17_0.899_0.509_0.437_0.484_c862.mtx,512,2,,2.97625,5.89813
k17_0.899_0.509_0.437_0.484_c862.mtx,512,256,,2.97625,7.13972
k17_0.899_0.509_0.437_0.484_c862.mtx,512,32,,2.97625,6.76423
k17_0.899_0.509_0.437_0.484_c862.mtx,512,4,,2.97625,6.23853
k17_0.899_0.509_0.437_0.484_c862.mtx,512,64,,2.97625,6.65652
k17_0.899_0.509_0.437_0.484_c862.mtx,512,8,,2.97625,6.40715
k17_0.899_0.509_0.437_0.484_c862.mtx,64,128,,2.97625,6.91829
