filename,rows,cols,block_median,noblock_median,tensor_median
k18_0.899_0.537_0.537_0.494_c862.mtx,1024,128,,25.027,51.3082
k18_0.899_0.537_0.537_0.494_c862.mtx,1024,16,,25.027,57.9081
k18_0.899_0.537_0.537_0.494_c862.mtx,1024,2,,25.027,44.6758
k18_0.899_0.537_0.537_0.494_c862.mtx,1024,256,,25.027,53.6626
k18_0.899_0.537_0.537_0.494_c862.mtx,1024,32,,25.027,56.1172
k18_0.899_0.537_0.537_0.494_c862.mtx,1024,4,,25.027,51.4378
k18_0.899_0.537_0.537_0.494_c862.mtx,1024,512,,25.027,62.0919
k18_0.899_0.537_0.537_0.494_c862.mtx,1024,64,,25.027,58.5214
k18_0.899_0.537_0.537_0.494_c862.mtx,1024,8,,25.027,59.9334
k18_0.899_0.537_0.537_0.494_c862.mtx,128,128,,25.027,52.5417
k18_0.899_0.537_0.537_0.494_c862.mtx,128,16,,25.027,60.5048
k18_0.899_0.537_0.537_0.494_c862.mtx,128,2,,25.027,47.0519
k18_0.899_0.537_0.537_0.494_c862.mtx,128,256,,25.027,60.5936
k18_0.899_0.537_0.537_0.494_c862.mtx,128,32,,25.027,54.0159
k18_0.899_0.537_0.537_0.494_c862.mtx,128,4,,25.027,54.0169
k18_0.899_0.537_0.537_0.494_c862.mtx,128,512,,25.027,59.6259
k18_0.899_0.537_0.537_0.494_c862.mtx,128,64,,25.027,57.778
k18_0.899_0.537_0.537_0.494_c862.mtx,128,8,,25.027,55.4276
k18_0.899_0.537_0.537_0.494_c862.mtx,131072,128,,25.027,0.0295965
k18_0.899_0.537_0.537_0.494_c862.mtx,131072,16,,25.027,0.030503
k18_0.899_0.537_0.537_0.494_c862.mtx,131072,2,,25.027,0.0279395
k18_0.899_0.537_0.537_0.494_c862.mtx,131072,256,,25.027,0.0437235
k18_0.899_0.537_0.537_0.494_c862.mtx,131072,262144,,25.027,0.028166
k18_0.899_0.537_0.537_0.494_c862.mtx,131072,32,,25.027,0.030777
k18_0.899_0.537_0.537_0.494_c862.mtx,131072,4,,25.027,0.028615
k18_0.899_0.537_0.537_0.494_c862.mtx,131072,512,,25.027,0.0436265
k18_0.899_0.537_0.537_0.494_c862.mtx,131072,64,,25.027,0.0301165
k18_0.899_0.537_0.537_0.494_c862.mtx,131072,8,,25.027,0.02873
k18_0.899_0.537_0.537_0.494_c862.mtx,16384,128,,25.027,53.1818
k18_0.899_0.537_0.537_0.494_c862.mtx,16384,16,,25.027,52.1337
k18_0.899_0.537_0.537_0.494_c862.mtx,16384,2,,25.027,44.8352
k18_0.899_0.537_0.537_0.494_c862.mtx,16384,256,,25.027,46.4934
k18_0.899_0.537_0.537_0.494_c862.mtx,16384,32,,25.027,47.0769
k18_0.899_0.537_0.537_0.494_c862.mtx,16384,4,,25.027,40.8148
k18_0.899_0.537_0.537_0.494_c862.mtx,16384,512,,25.027,51.6648
k18_0.899_0.537_0.537_0.494_c862.mtx,16384,64,,25.027,42.7263
k18_0.899_0.537_0.537_0.494_c862.mtx,16384,8,,25.027,48.8517
k18_0.899_0.537_0.537_0.494_c862.mtx,16,128,,25.027,51.7996
k18_0.899_0.537_0.537_0.494_c862.mtx,16,16,,25.027,60.452
k18_0.899_0.537_0.537_0.494_c862.mtx,16,2,,25.027,47.6073
k18_0.899_0.537_0.537_0.494_c862.mtx,16,256,,25.027,61.3721
k18_0.899_0.537_0.537_0.494_c862.mtx,16,32,,25.027,54.4009
k18_0.899_0.537_0.537_0.494_c862.mtx,16,4,,25.027,53.7152
k18_0.899_0.537_0.537_0.494_c862.mtx,16,512,,25.027,60.0313
k18_0.899_0.537_0.537_0.494_c862.mtx,16,64,,25.027,59.4202
k18_0.899_0.537_0.537_0.494_c862.mtx,16,8,,25.027,56.0653
k18_0.899_0.537_0.537_0.494_c862.mtx,2048,128,,25.027,61.8323
k18_0.899_0.537_0.537_0.494_c862.mtx,2048,16,,25.027,56.8581
k18_0.899_0.537_0.537_0.494_c862.mtx,2048,2,,25.027,47.2232
k18_0.899_0.537_0.537_0.494_c862.mtx,2048,256,,25.027,57.0003
k18_0.899_0.537_0.537_0.494_c862.mtx,2048,32,,25.027,54.3608
k18_0.899_0.537_0.537_0.494_c862.mtx,2048,4,,25.027,46.9074
k18_0.899_0.537_0.537_0.494_c862.mtx,2048,512,,25.027,59.0451
k18_0.899_0.537_0.537_0.494_c862.mtx,2048,64,,25.027,59.4918
k18_0.899_0.537_0.537_0.494_c862.mtx,2048,8,,25.027,52.7943
k18_0.899_0.537_0.537_0.494_c862.mtx,256,128,,25.027,52.5745
k18_0.899_0.537_0.537_0.494_c862.mtx,256,16,,25.027,60.9627
k18_0.899_0.537_0.537_0.494_c862.mtx,256,2,,25.027,46.7772
k18_0.899_0.537_0.537_0.494_c862.mtx,256,256,,25.027,60.205
k18_0.899_0.537_0.537_0.494_c862.mtx,256,32,,25.027,55.1458
k18_0.899_0.537_0.537_0.494_c862.mtx,256,4,,25.027,50.0726
k18_0.899_0.537_0.537_0.494_c862.mtx,256,512,,25.027,60.525
k18_0.899_0.537_0.537_0.494_c862.mtx,256,64,,25.027,53.9849
k18_0.899_0.537_0.537_0.494_c862.mtx,256,8,,25.027,55.4032
k18_0.899_0.537_0.537_0.494_c862.mtx,262144,128,,25.027,0.006859
k18_0.899_0.537_0.537_0.494_c862.mtx,262144,16,,25.027,0.0069235
k18_0.899_0.537_0.537_0.494_c862.mtx,262144,2,,25.027,0.0068685
k18_0.899_0.537_0.537_0.494_c862.mtx,262144,256,,25.027,0.006918
k18_0.899_0.537_0.537_0.494_c862.mtx,262144,262144,,25.027,0.0069195
k18_0.899_0.537_0.537_0.494_c862.mtx,262144,32,,25.027,0.006987
k18_0.899_0.537_0.537_0.494_c862.mtx,262144,4,,25.027,0.006868
k18_0.899_0.537_0.537_0.494_c862.mtx,262144,512,,25.027,0.0067815
k18_0.899_0.537_0.537_0.494_c862.mtx,262144,64,,25.027,0.006834
k18_0.899_0.537_0.537_0.494_c862.mtx,262144,8,,25.027,0.006964
k18_0.899_0.537_0.537_0.494_c862.mtx,2,128,,25.027,61.0765
k18_0.899_0.537_0.537_0.494_c862.mtx,2,16,,25.027,62.1947
k18_0.899_0.537_0.537_0.494_c862.mtx,2,2,,25.027,48.4256
k18_0.899_0.537_0.537_0.494_c862.mtx,2,256,,25.027,57.5322
k18_0.899_0.537_0.537_0.494_c862.mtx,2,32,,25.027,50.31
k18_0.899_0.537_0.537_0.494_c862.mtx,2,4,,25.027,53.9258
k18_0.899_0.537_0.537_0.494_c862.mtx,2,512,,25.027,63.4762
k18_0.899_0.537_0.537_0.494_c862.mtx,2,64,,25.027,64.2951
k18_0.899_0.537_0.537_0.494_c862.mtx,2,8,,25.027,57.407
k18_0.899_0.537_0.537_0.494_c862.mtx,32768,128,,25.027,38.242
k18_0.899_0.537_0.537_0.494_c862.mtx,32768,16,,25.027,42.3988
k18_0.899_0.537_0.537_0.494_c862.mtx,32768,2,,25.027,37.6095
k18_0.899_0.537_0.537_0.494_c862.mtx,32768,256,,25.027,43.5448
k18_0.899_0.537_0.537_0.494_c862.mtx,32768,32,,25.027,42.1872
k18_0.899_0.537_0.537_0.494_c862.mtx,32768,4,,25.027,39.328
k18_0.899_0.537_0.537_0.494_c862.mtx,32768,512,,25.027,43.281
k18_0.899_0.537_0.537_0.494_c862.mtx,32768,64,,25.027,42.5736
k18_0.899_0.537_0.537_0.494_c862.mtx,32768,8,,25.027,43.7131
k18_0.899_0.537_0.537_0.494_c862.mtx,32,128,,25.027,52.6824
k18_0.899_0.537_0.537_0.494_c862.mtx,32,16,,25.027,60.954
k18_0.899_0.537_0.537_0.494_c862.mtx,32,2,,25.027,46.0807
k18_0.899_0.537_0.537_0.494_c862.mtx,32,256,,25.027,56.2319
k18_0.899_0.537_0.537_0.494_c862.mtx,32,32,,25.027,61.2533
k18_0.899_0.537_0.537_0.494_c862.mtx,32,4,,25.027,52.0877
k18_0.899_0.537_0.537_0.494_c862.mtx,32,512,,25.027,63.5587
k18_0.899_0.537_0.537_0.494_c862.mtx,32,64,,25.027,62.8046
k18_0.899_0.537_0.537_0.494_c862.mtx,32,8,,25.027,58.1438
k18_0.899_0.537_0.537_0.494_c862.mtx,4096,128,,25.027,50.932
k18_0.899_0.537_0.537_0.494_c862.mtx,4096,16,,25.027,55.4003
k18_0.899_0.537_0.537_0.494_c862.mtx,4096,2,,25.027,47.068
k18_0.899_0.537_0.537_0.494_c862.mtx,4096,256,,25.027,57.3688
k18_0.899_0.537_0.537_0.494_c862.mtx,4096,32,,25.027,55.8348
k18_0.899_0.537_0.537_0.494_c862.mtx,4096,4,,25.027,51.2064
k18_0.899_0.537_0.537_0.494_c862.mtx,4096,512,,25.027,56.5329
k18_0.899_0.537_0.537_0.494_c862.mtx,4096,64,,25.027,55.0101
k18_0.899_0.537_0.537_0.494_c862.mtx,4096,8,,25.027,47.2748
k18_0.899_0.537_0.537_0.494_c862.mtx,4,128,,25.027,58.8692
k18_0.899_0.537_0.537_0.494_c862.mtx,4,16,,25.027,59.0994
k18_0.899_0.537_0.537_0.494_c862.mtx,4,2,,25.027,45.0335
k18_0.899_0.537_0.537_0.494_c862.mtx,4,256,,25.027,55.3601
k18_0.899_0.537_0.537_0.494_c862.mtx,4,32,,25.027,51.8706
k18_0.899_0.537_0.537_0.494_c862.mtx,4,4,,25.027,52.3288
k18_0.899_0.537_0.537_0.494_c862.mtx,4,512,,25.027,58.8538
k18_0.899_0.537_0.537_0.494_c862.mtx,4,64,,25.027,60.3562
k18_0.899_0.537_0.537_0.494_c862.mtx,4,8,,25.027,60.2431
k18_0.899_0.537_0.537_0.494_c862.mtx,512,128,,25.027,57.8591
k18_0.899_0.537_0.537_0.494_c862.mtx,512,16,,25.027,54.9115
k18_0.899_0.537_0.537_0.494_c862.mtx,512,2,,25.027,45.3462
k18_0.899_0.537_0.537_0.494_c862.mtx,512,256,,25.027,64.9969
k18_0.899_0.537_0.537_0.494_c862.mtx,512,32,,25.027,59.4279
k18_0.899_0.537_0.537_0.494_c862.mtx,512,4,,25.027,50.3356
