filename,rows,cols,block_median,noblock_median,tensor_median
k17_0.899_0.537_0.537_0.555_c862.mtx,1024,128,,11.8297,27.3021
k17_0.899_0.537_0.537_0.555_c862.mtx,1024,16,,11.8297,29.67
k17_0.899_0.537_0.537_0.555_c862.mtx,1024,2,,11.8297,19.2793
k17_0.899_0.537_0.537_0.555_c862.mtx,1024,256,,11.8297,28.8625
k17_0.899_0.537_0.537_0.555_c862.mtx,1024,32,,11.8297,26.1242
k17_0.899_0.537_0.537_0.555_c862.mtx,1024,4,,11.8297,23.2974
k17_0.899_0.537_0.537_0.555_c862.mtx,1024,64,,11.8297,25.8908
k17_0.899_0.537_0.537_0.555_c862.mtx,1024,8,,11.8297,24.7135
k17_0.899_0.537_0.537_0.555_c862.mtx,128,128,,11.8297,27.9966
k17_0.899_0.537_0.537_0.555_c862.mtx,128,16,,11.8297,25.8144
k17_0.899_0.537_0.537_0.555_c862.mtx,128,2,,11.8297,19.8261
k17_0.899_0.537_0.537_0.555_c862.mtx,128,256,,11.8297,29.872
k17_0.899_0.537_0.537_0.555_c862.mtx,128,32,,11.8297,26.0384
k17_0.899_0.537_0.537_0.555_c862.mtx,128,4,,11.8297,23.0417
k17_0.899_0.537_0.537_0.555_c862.mtx,128,64,,11.8297,27.3699
k17_0.899_0.537_0.537_0.555_c862.mtx,128,8,,11.8297,24.9383
k17_0.899_0.537_0.537_0.555_c862.mtx,2048,128,,11.8297,26.6323
k17_0.899_0.537_0.537_0.555_c862.mtx,2048,16,,11.8297,24.7071
k17_0.899_0.537_0.537_0.555_c862.mtx,2048,2,,11.8297,19.0886
k17_0.899_0.537_0.537_0.555_c862.mtx,2048,256,,11.8297,28.2032
k17_0.899_0.537_0.537_0.555_c862.mtx,2048,32,,11.8297,25.5412
k17_0.899_0.537_0.537_0.555_c862.mtx,2048,4,,11.8297,22.7439
k17_0.899_0.537_0.537_0.555_c862.mtx,2048,64,,11.8297,25.7558
k17_0.899_0.537_0.537_0.555_c862.mtx,2048,8,,11.8297,24.1744
k17_0.899_0.537_0.537_0.555_c862.mtx,256,128,,11.8297,27.8635
k17_0.899_0.537_0.537_0.555_c862.mtx,256,16,,11.8297,26.6834
k17_0.899_0.537_0.537_0.555_c862.mtx,256,2,,11.8297,19.9435
k17_0.899_0.537_0.537_0.555_c862.mtx,256,256,,11.8297,29.6886
k17_0.899_0.537_0.537_0.555_c862.mtx,256,32,,11.8297,26.0125
k17_0.899_0.537_0.537_0.555_c862.mtx,256,4,,11.8297,23.0493
k17_0.899_0.537_0.537_0.555_c862.mtx,256,64,,11.8297,26.2732
k17_0.899_0.537_0.537_0.555_c862.mtx,256,8,,11.8297,24.9942
k17_0.899_0.537_0.537_0.555_c862.mtx,2,128,,11.8297,28.5207
k17_0.899_0.537_0.537_0.555_c862.mtx,2,16,,11.8297,26.5728
k17_0.899_0.537_0.537_0.555_c862.mtx,2,2,,11.8297,20.7085
k17_0.899_0.537_0.537_0.555_c862.mtx,2,256,,11.8297,30.6657
k17_0.899_0.537_0.537_0.555_c862.mtx,2,32,,11.8297,26.646
k17_0.899_0.537_0.537_0.555_c862.mtx,2,4,,11.8297,23.8682
k17_0.899_0.537_0.537_0.555_c862.mtx,2,64,,11.8297,27.6416
k17_0.899_0.537_0.537_0.555_c862.mtx,2,8,,11.8297,26.5411
k17_0.899_0.537_0.537_0.555_c862.mtx,32768,128,,11.8297,12.9687
k17_0.899_0.537_0.537_0.555_c862.mtx,32768,16,,11.8297,12.1787
k17_0.899_0.537_0.537_0.555_c862.mtx,32768,2,,11.8297,9.72014
k17_0.899_0.537_0.537_0.555_c862.mtx,32768,256,,11.8297,13.8712
k17_0.899_0.537_0.537_0.555_c862.mtx,32768,32,,11.8297,12.526
k17_0.899_0.537_0.537_0.555_c862.mtx,32768,4,,11.8297,11.1209
k17_0.899_0.537_0.537_0.555_c862.mtx,32768,64,,11.8297,12.5035
k17_0.899_0.537_0.537_0.555_c862.mtx,32768,8,,11.8297,11.9771
k17_0.899_0.537_0.537_0.555_c862.mtx,32,128,,11.8297,27.9451
k17_0.899_0.537_0.537_0.555_c862.mtx,32,16,,11.8297,26.6305
k17_0.899_0.537_0.537_0.555_c862.mtx,32,2,,11.8297,20.1533
k17_0.899_0.537_0.537_0.555_c862.mtx,32,256,,11.8297,29.8043
k17_0.899_0.537_0.537_0.555_c862.mtx,32,32,,11.8297,26.3583
k17_0.899_0.537_0.537_0.555_c862.mtx,32,4,,11.8297,23.7773
k17_0.899_0.537_0.537_0.555_c862.mtx,32,64,,11.8297,27.3319
k17_0.899_0.537_0.537_0.555_c862.mtx,32,8,,11.8297,25.2397
k17_0.899_0.537_0.537_0.555_c862.mtx,4096,128,,11.8297,25.3667
k17_0.899_0.537_0.537_0.555_c862.mtx,4096,16,,11.8297,24.1947
k17_0.899_0.537_0.537_0.555_c862.mtx,4096,2,,11.8297,18.6202
k17_0.899_0.537_0.537_0.555_c862.mtx,4096,256,,11.8297,27.3508
k17_0.899_0.537_0.537_0.555_c862.mtx,4096,32,,11.8297,24.5054
k17_0.899_0.537_0.537_0.555_c862.mtx,4096,4,,11.8297,24.8727
k17_0.899_0.537_0.537_0.555_c862.mtx,4096,64,,11.8297,25.2049
k17_0.899_0.537_0.537_0.555_c862.mtx,4096,8,,11.8297,24.2338
k17_0.899_0.537_0.537_0.555_c862.mtx,4,128,,11.8297,28.8188
k17_0.899_0.537_0.537_0.555_c862.mtx,4,16,,11.8297,26.7341
k17_0.899_0.537_0.537_0.555_c862.mtx,4,2,,11.8297,21.2613
k17_0.899_0.537_0.537_0.555_c862.mtx,4,256,,11.8297,29.8408
k17_0.899_0.537_0.537_0.555_c862.mtx,4,32,,11.8297,26.9574
k17_0.899_0.537_0.537_0.555_c862.mtx,4,4,,11.8297,24.3055
k17_0.899_0.537_0.537_0.555_c862.mtx,4,64,,11.8297,27.8443
k17_0.899_0.537_0.537_0.555_c862.mtx,4,8,,11.8297,26.6433
k17_0.899_0.537_0.537_0.555_c862.mtx,512,128,,11.8297,27.7056
k17_0.899_0.537_0.537_0.555_c862.mtx,512,16,,11.8297,26.3742
