filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.537_0.548_c862-r2048_c16384.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r2048_c2.tns,116.849,0.068186,6.72062,0.0907781,6.65994
k16_0.899_0.537_0.537_0.548_c862-r2048_c2048.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r2048_c256.tns,118.106,0.063193,10.1592,0.0545435,10.1261
k16_0.899_0.537_0.537_0.548_c862-r2048_c32.tns,118.384,0.060995,8.03374,0.0709314,7.98743
k16_0.899_0.537_0.537_0.548_c862-r2048_c32768.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r2048_c4.tns,117.718,0.062413,6.84352,0.0746491,6.79613
k16_0.899_0.537_0.537_0.548_c862-r2048_c4096.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r2048_c512.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r2048_c64.tns,117.999,0.061395,8.39663,0.0592321,8.36136
k16_0.899_0.537_0.537_0.548_c862-r2048_c65536.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r2048_c8.tns,118.06,0.065641,7.26451,0.0740738,7.21851
k16_0.899_0.537_0.537_0.548_c862-r2048_c8192.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r256_c1024.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r256_c128.tns,121.704,0.077385,9.7425,0.0690633,9.69707
k16_0.899_0.537_0.537_0.548_c862-r256_c16.tns,117.519,0.063445,7.8802,0.0847471,7.8205
k16_0.899_0.537_0.537_0.548_c862-r256_c16384.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r256_c2.tns,116.677,0.069966,7.17926,0.0862066,7.1219
k16_0.899_0.537_0.537_0.548_c862-r256_c2048.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r256_c256.tns,118.296,0.065676,10.8873,0.076356,10.84
k16_0.899_0.537_0.537_0.548_c862-r256_c32.tns,117.427,0.060789,8.64522,0.0790199,8.59901
k16_0.899_0.537_0.537_0.548_c862-r256_c32768.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r256_c4.tns,117.978,0.070528,7.29699,0.0825909,7.24216
k16_0.899_0.537_0.537_0.548_c862-r256_c4096.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r256_c512.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r256_c64.tns,118.693,0.070072,9.12858,0.149549,9.02649
k16_0.899_0.537_0.537_0.548_c862-r256_c65536.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r256_c8.tns,117.135,0.06764,7.79332,0.0808477,7.74128
k16_0.899_0.537_0.537_0.548_c862-r256_c8192.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r2_c1024.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r2_c128.tns,115.869,0.063756,10.0541,0.107156,10.0352
k16_0.899_0.537_0.537_0.548_c862-r2_c16.tns,116.092,0.061974,8.25989,0.0801594,8.20825
k16_0.899_0.537_0.537_0.548_c862-r2_c16384.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r2_c2.tns,115.571,0.066496,7.51764,0.0858956,7.46153
k16_0.899_0.537_0.537_0.548_c862-r2_c2048.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r2_c256.tns,115.797,0.06637,11.5045,0.109188,11.457
k16_0.899_0.537_0.537_0.548_c862-r2_c32.tns,115.328,0.062637,8.69605,0.10553,8.6335
k16_0.899_0.537_0.537_0.548_c862-r2_c32768.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r2_c4.tns,115.815,0.065444,7.70882,0.0744978,7.66008
k16_0.899_0.537_0.537_0.548_c862-r2_c4096.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r2_c512.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r2_c64.tns,115.438,0.066313,9.11178,0.128972,9.02522
k16_0.899_0.537_0.537_0.548_c862-r2_c65536.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r2_c8.tns,115.636,0.064378,8.19804,0.0738873,8.14704
k16_0.899_0.537_0.537_0.548_c862-r2_c8192.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r32768_c1024.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r32768_c128.tns,117.271,0.069927,0.0122356,0.000510489,0.012033
k16_0.899_0.537_0.537_0.548_c862-r32768_c16.tns,116.945,0.064245,0.0121246,0.000402538,0.0119415
k16_0.899_0.537_0.537_0.548_c862-r32768_c16384.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r32768_c2.tns,116.721,0.062095,0.0121876,0.000346535,0.0120805
k16_0.899_0.537_0.537_0.548_c862-r32768_c2048.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r32768_c256.tns,117.029,0.063346,0.0122514,0.000384516,0.012031
k16_0.899_0.537_0.537_0.548_c862-r32768_c32.tns,117.33,0.066331,0.012137,0.00030735,0.0119845
k16_0.899_0.537_0.537_0.548_c862-r32768_c32768.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r32768_c4.tns,116.948,0.070306,0.0120739,0.000345785,0.011895
k16_0.899_0.537_0.537_0.548_c862-r32768_c4096.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r32768_c512.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r32768_c64.tns,117.302,0.067587,0.0121471,0.00030616,0.012004
k16_0.899_0.537_0.537_0.548_c862-r32768_c65536.tns,116.744,0.074485,0.0124086,0.00073522,0.012072
k16_0.899_0.537_0.537_0.548_c862-r32768_c8.tns,116.785,0.061593,0.0120835,0.000449929,0.011884
k16_0.899_0.537_0.537_0.548_c862-r32768_c8192.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r32_c1024.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r32_c128.tns,117.775,0.060455,9.87483,0.058032,9.83507
k16_0.899_0.537_0.537_0.548_c862-r32_c16.tns,117.27,0.205014,8.00709,0.0867762,7.94745
k16_0.899_0.537_0.537_0.548_c862-r32_c16384.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r32_c2.tns,116.631,0.063456,7.28304,0.0888384,7.21866
k16_0.899_0.537_0.537_0.548_c862-r32_c2048.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r32_c256.tns,117.693,0.066298,11.0929,0.0721948,11.0455
k16_0.899_0.537_0.537_0.548_c862-r32_c32.tns,117.625,0.062464,8.7783,0.0794342,8.73103
k16_0.899_0.537_0.537_0.548_c862-r32_c32768.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r32_c4.tns,117.464,0.063307,7.4198,0.0815135,7.36832
k16_0.899_0.537_0.537_0.548_c862-r32_c4096.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r32_c512.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r32_c64.tns,117.88,0.068048,9.12837,0.0644122,9.08699
k16_0.899_0.537_0.537_0.548_c862-r32_c65536.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r32_c8.tns,117.61,0.064758,7.84904,0.0794267,7.79719
k16_0.899_0.537_0.537_0.548_c862-r32_c8192.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r4096_c1024.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r4096_c128.tns,118.168,0.064683,8.41358,0.0625153,8.36823
k16_0.899_0.537_0.537_0.548_c862-r4096_c16.tns,117.91,0.170657,6.77616,0.0740619,6.73323
k16_0.899_0.537_0.537_0.548_c862-r4096_c16384.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r4096_c2.tns,117.232,0.063324,6.25675,0.0634875,6.21563
k16_0.899_0.537_0.537_0.548_c862-r4096_c2048.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r4096_c256.tns,118.018,0.066464,9.39085,0.0663506,9.35181
k16_0.899_0.537_0.537_0.548_c862-r4096_c32.tns,117.572,0.063085,7.49419,0.0703801,7.45398
k16_0.899_0.537_0.537_0.548_c862-r4096_c32768.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r4096_c4.tns,117.188,0.060927,6.29674,0.0882647,6.2419
k16_0.899_0.537_0.537_0.548_c862-r4096_c4096.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r4096_c512.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r4096_c64.tns,118.191,0.064902,7.78895,0.0639452,7.74721
k16_0.899_0.537_0.537_0.548_c862-r4096_c65536.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r4096_c8.tns,117.278,0.073708,6.74881,0.0808952,6.69205
k16_0.899_0.537_0.537_0.548_c862-r4096_c8192.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r4_c1024.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r4_c128.tns,117.719,0.061487,9.77307,0.0602139,9.7372
k16_0.899_0.537_0.537_0.548_c862-r4_c16.tns,117.383,0.061647,8.54067,0.131942,8.46205
k16_0.899_0.537_0.537_0.548_c862-r4_c16384.tns,,,,,
