filename,rows,cols,block_median,noblock_median,tensor_median
k19_0.899_0.528_0.437_0.484_c862.mtx,1024,128,,31.4903,67.9869
k19_0.899_0.528_0.437_0.484_c862.mtx,1024,16,,31.4903,68.5099
k19_0.899_0.528_0.437_0.484_c862.mtx,1024,2,,31.4903,59.5171
k19_0.899_0.528_0.437_0.484_c862.mtx,1024,256,,31.4903,67.5144
k19_0.899_0.528_0.437_0.484_c862.mtx,1024,32,,31.4903,67.2563
k19_0.899_0.528_0.437_0.484_c862.mtx,1024,4,,31.4903,66.9266
k19_0.899_0.528_0.437_0.484_c862.mtx,1024,512,,31.4903,68.049
k19_0.899_0.528_0.437_0.484_c862.mtx,1024,64,,31.4903,67.6878
k19_0.899_0.528_0.437_0.484_c862.mtx,1024,8,,31.4903,65.9425
k19_0.899_0.528_0.437_0.484_c862.mtx,128,128,,31.4903,66.5153
k19_0.899_0.528_0.437_0.484_c862.mtx,128,16,,31.4903,67.1975
k19_0.899_0.528_0.437_0.484_c862.mtx,128,2,,31.4903,56.1939
k19_0.899_0.528_0.437_0.484_c862.mtx,128,256,,31.4903,58.0033
k19_0.899_0.528_0.437_0.484_c862.mtx,128,32,,31.4903,66.2495
k19_0.899_0.528_0.437_0.484_c862.mtx,128,4,,31.4903,66.581
k19_0.899_0.528_0.437_0.484_c862.mtx,128,512,,31.4903,68.6464
k19_0.899_0.528_0.437_0.484_c862.mtx,128,64,,31.4903,68.8075
k19_0.899_0.528_0.437_0.484_c862.mtx,128,8,,31.4903,68.0834
k19_0.899_0.528_0.437_0.484_c862.mtx,131072,128,,31.4903,29.8434
k19_0.899_0.528_0.437_0.484_c862.mtx,131072,16,,31.4903,26.7843
k19_0.899_0.528_0.437_0.484_c862.mtx,131072,2,,31.4903,26.7455
k19_0.899_0.528_0.437_0.484_c862.mtx,131072,256,,31.4903,26.7828
k19_0.899_0.528_0.437_0.484_c862.mtx,131072,32,,31.4903,31.6262
k19_0.899_0.528_0.437_0.484_c862.mtx,131072,4,,31.4903,29.6694
k19_0.899_0.528_0.437_0.484_c862.mtx,131072,512,,31.4903,31.4603
k19_0.899_0.528_0.437_0.484_c862.mtx,131072,64,,31.4903,30.7013
k19_0.899_0.528_0.437_0.484_c862.mtx,131072,8,,31.4903,31.3071
k19_0.899_0.528_0.437_0.484_c862.mtx,16384,128,,31.4903,56.2383
