filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.526_0.484_c862-r1024_c1024.tns,90.0606,0.08521,6.07589,0.0123499,6.07435
k16_0.899_0.537_0.526_0.484_c862-r1024_c128.tns,85.3386,0.082415,4.72162,0.0247375,4.70976
k16_0.899_0.537_0.526_0.484_c862-r1024_c16.tns,85.3893,0.107251,4.82859,0.0773767,4.76709
k16_0.899_0.537_0.526_0.484_c862-r1024_c16384.tns,B size: (64 x 4 x 1024 x 16384), 21696084 bytes
k16_0.899_0.537_0.526_0.484_c862-r1024_c2.tns,83.7892,0.078908,8.53613,0.140997,8.47234
k16_0.899_0.537_0.526_0.484_c862-r1024_c2048.tns,B size: (64 x 32 x 1024 x 2048), 27406716 bytes
k16_0.899_0.537_0.526_0.484_c862-r1024_c256.tns,84.9798,0.105929,4.92981,0.0958009,4.86914
k16_0.899_0.537_0.526_0.484_c862-r1024_c32.tns,84.6931,0.115818,4.30502,0.0828238,4.25942
k16_0.899_0.537_0.526_0.484_c862-r1024_c32768.tns,B size: (64 x 2 x 1024 x 32768), 20741028 bytes
k16_0.899_0.537_0.526_0.484_c862-r1024_c4.tns,83.4692,0.118212,7.7823,0.0946239,7.74321
k16_0.899_0.537_0.526_0.484_c862-r1024_c4096.tns,B size: (64 x 16 x 1024 x 4096), 25253580 bytes
k16_0.899_0.537_0.526_0.484_c862-r1024_c512.tns,85.4526,0.123703,5.30426,0.101546,5.25382
k16_0.899_0.537_0.526_0.484_c862-r1024_c64.tns,84.0485,0.110277,4.54634,0.0266294,4.53049
k16_0.899_0.537_0.526_0.484_c862-r1024_c65536.tns,B size: (64 x 1 x 1024 x 65536), 20225420 bytes
k16_0.899_0.537_0.526_0.484_c862-r1024_c8.tns,84.2091,0.109956,6.08449,0.0376613,6.06673
k16_0.899_0.537_0.526_0.484_c862-r1024_c8192.tns,B size: (64 x 8 x 1024 x 8192), 23230028 bytes
k16_0.899_0.537_0.526_0.484_c862-r128_c1024.tns,B size: (512 x 64 x 128 x 1024), 29528796 bytes
k16_0.899_0.537_0.526_0.484_c862-r128_c128.tns,83.6551,0.103615,5.25494,0.124026,5.19585
k16_0.899_0.537_0.526_0.484_c862-r128_c16.tns,83.3298,0.120106,8.88827,0.140905,8.82946
k16_0.899_0.537_0.526_0.484_c862-r128_c16384.tns,B size: (512 x 4 x 128 x 16384), 21712212 bytes
k16_0.899_0.537_0.526_0.484_c862-r128_c2.tns,83.9038,0.083958,16.8796,0.0673894,16.8352
k16_0.899_0.537_0.526_0.484_c862-r128_c2048.tns,B size: (512 x 32 x 128 x 2048), 27523196 bytes
k16_0.899_0.537_0.526_0.484_c862-r128_c256.tns,B size: (512 x 256 x 128 x 256), 32628700 bytes
k16_0.899_0.537_0.526_0.484_c862-r128_c32.tns,84.6845,0.099797,8.08981,0.0472625,8.07573
k16_0.899_0.537_0.526_0.484_c862-r128_c32768.tns,B size: (512 x 2 x 128 x 32768), 20749988 bytes
k16_0.899_0.537_0.526_0.484_c862-r128_c4.tns,83.5526,0.100569,10.5898,0.268738,10.4166
k16_0.899_0.537_0.526_0.484_c862-r128_c4096.tns,B size: (512 x 16 x 128 x 4096), 25312716 bytes
k16_0.899_0.537_0.526_0.484_c862-r128_c512.tns,B size: (512 x 128 x 128 x 512), 31189244 bytes
